##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/2157.archaea.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/2157.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:49
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/2157.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	593117.TGAM_0750 64091.VNG1305G
NOG04430:	64091.VNG0824G 593117.TGAM_0239
NOG04431:	593117.TGAM_2056 64091.VNG2210G
NOG04432:	64091.VNG2316C 593117.TGAM_1804
NOG04433:	593117.TGAM_1729 64091.VNG1148G
NOG04434:	64091.VNG1691G 593117.TGAM_2001
NOG04435:	593117.TGAM_0754 64091.VNG1944C
NOG04436:	64091.VNG0512G 593117.TGAM_1743
NOG04437:	593117.TGAM_0868 64091.VNG2452C
NOG04438:	64091.VNG2374Gm 593117.TGAM_1807
NOG04439:	593117.TGAM_1882 64091.VNG0534C
NOG04440:	593117.TGAM_0285 64091.VNG0175G 64091.VNG1282G
NOG04441:	64091.VNG0565C 593117.TGAM_0041 593117.TGAM_0708
NOG04442:	593117.TGAM_2055 64091.VNG2575G
NOG04443:	64091.VNG1103G 593117.TGAM_0489
NOG04444:	64091.VNG0147C 593117.TGAM_0232
NOG04445:	593117.TGAM_1821 64091.VNG1598a
NOG04446:	593117.TGAM_0089 64091.VNG1201G
NOG04447:	64091.VNG1929G 593117.TGAM_1769
NOG04448:	64091.VNG1320G 593117.TGAM_1365
NOG04449:	593117.TGAM_0273 64091.VNG1390a
NOG04450:	64091.VNG0478C 593117.TGAM_1929
NOG04451:	64091.VNG1743C 64091.VNG0426G 593117.TGAM_1048
NOG04452:	64091.VNG1158G 593117.TGAM_1875
NOG04453:	593117.TGAM_1124 64091.VNG0471C
NOG04454:	593117.TGAM_0226 64091.VNG0757G
NOG04455:	593117.TGAM_1430 64091.VNG1901C
NOG04456:	64091.VNG0867G 593117.TGAM_1938
NOG04457:	593117.TGAM_0196 64091.VNG0822C
NOG04458:	593117.TGAM_1220 64091.VNG1197G
NOG04459:	593117.TGAM_0921 593117.TGAM_2148 593117.TGAM_1261
NOG04460:	64091.VNG1249C 593117.TGAM_1370
NOG04461:	64091.VNG1296C 593117.TGAM_0859
NOG04462:	593117.TGAM_0957 64091.VNG1252G
NOG04463:	593117.TGAM_0867 64091.VNG0938G
NOG04464:	593117.TGAM_1079 64091.VNG0875Cm
NOG04465:	64091.VNG2483G 64091.VNG0453G 593117.TGAM_0207
NOG04466:	64091.VNG2620G 593117.TGAM_1630
NOG04467:	593117.TGAM_0945 64091.VNG0365G
NOG04468:	64091.VNG1726G 64091.VNG0834C
NOG04469:	64091.VNG0110C 593117.TGAM_0781
NOG04470:	593117.TGAM_0047 593117.TGAM_0703 593117.TGAM_0049 593117.TGAM_1248
NOG04471:	64091.VNG1843C 593117.TGAM_0854
NOG04472:	593117.TGAM_1324 64091.VNG2242C
NOG04473:	593117.TGAM_1521 64091.VNG0740C
NOG04474:	64091.VNG2019C 593117.TGAM_0019
NOG04475:	64091.VNG1169C 593117.TGAM_0906
NOG04476:	593117.TGAM_1443 64091.VNG0427G
NOG04477:	593117.TGAM_1962 64091.VNG1140G
NOG04478:	64091.VNG2527G 593117.TGAM_0385
NOG04479:	64091.VNG2537G 593117.TGAM_1135
NOG04480:	593117.TGAM_1658 64091.VNG1406Gm
NOG04481:	64091.VNG2339C 593117.TGAM_1863
NOG04482:	593117.TGAM_1604 64091.VNG1687C
NOG04483:	593117.TGAM_0514 64091.VNG0094C
NOG04484:	593117.TGAM_0938 64091.VNG0845C 593117.TGAM_1226
NOG04485:	593117.TGAM_0860 64091.VNG2610C
NOG04486:	593117.TGAM_0914 64091.VNG2126C
NOG04487:	593117.TGAM_1440 64091.VNG1822G
NOG04488:	64091.VNG0424C 593117.TGAM_0327
NOG04489:	593117.TGAM_0738 593117.TGAM_0739
NOG04490:	64091.VNG2484G 593117.TGAM_0206 64091.VNG0455G
NOG04491:	593117.TGAM_0471 64091.VNG0778C
NOG04492:	64091.VNG1994C 593117.TGAM_1186
NOG04493:	593117.TGAM_1357 64091.VNG1547C
NOG04494:	64091.VNG2125Gm 593117.TGAM_1256
NOG04495:	593117.TGAM_1753 593117.TGAM_2028
NOG04496:	64091.VNG0089G 593117.TGAM_1544
NOG04497:	64091.VNG0640G 593117.TGAM_0243 593117.TGAM_0058
NOG04498:	593117.TGAM_0470 64091.VNG2099C
NOG04499:	64091.VNG0630G 593117.TGAM_1257
NOG04500:	593117.TGAM_1346 64091.VNG1202C
NOG04501:	593117.TGAM_1208 64091.VNG1327G
NOG04502:	593117.TGAM_0784 64091.VNG0608C
NOG04503:	593117.TGAM_1845 64091.VNG2646C
NOG04504:	64091.VNG1851G 593117.TGAM_0139
NOG04505:	593117.TGAM_1265 64091.VNG2371C
NOG04506:	64091.VNG1433G 593117.TGAM_0855
NOG04507:	593117.TGAM_1171 64091.VNG0340C
NOG04508:	593117.TGAM_0227 64091.VNG0758C
NOG04509:	64091.VNG0718C 593117.TGAM_1181
NOG04510:	593117.TGAM_0536 64091.VNG1581C
NOG04511:	64091.VNG0389C 593117.TGAM_0910
NOG04512:	593117.TGAM_0973 64091.VNG1732C
NOG04513:	64091.VNG0514C 593117.TGAM_1742
NOG04514:	593117.TGAM_1022 64091.VNG2320G
NOG04515:	593117.TGAM_1188 64091.VNG1031C
NOG04516:	593117.TGAM_1609 64091.VNG2295G
NOG04517:	593117.TGAM_0907 64091.VNG1170G
NOG04518:	593117.TGAM_1649 64091.VNG0620G
NOG04519:	64091.VNG2296C 593117.TGAM_0345
NOG04520:	64091.VNG1287C 593117.TGAM_1805
NOG04521:	593117.TGAM_1693 64091.VNG1846C
NOG04522:	64091.VNG1768G 593117.TGAM_1035
NOG04523:	64091.VNG2186G 593117.TGAM_2041
NOG04524:	593117.TGAM_1991 64091.VNG1702G
NOG04525:	593117.TGAM_0915 64091.VNG0363G
NOG04526:	593117.TGAM_0064 593117.TGAM_0069 64091.VNG0830G 593117.TGAM_0827 593117.TGAM_0823 593117.TGAM_0248
NOG04527:	64091.VNG1009G 593117.TGAM_1533 64091.VNG0960G 64091.VNG0961G 593117.TGAM_1536 593117.TGAM_1535 593117.TGAM_1534 64091.VNG0962G 64091.VNG1008G 64091.VNG1181G
NOG04528:	593117.TGAM_1798 64091.VNG2625C
NOG04529:	593117.TGAM_0504 64091.VNG1163G
NOG04530:	593117.TGAM_1450 64091.VNG2543C
NOG04531:	64091.VNG0378C 593117.TGAM_0482
NOG04532:	593117.TGAM_1081 64091.VNG0874G
NOG04533:	593117.TGAM_1504 593117.TGAM_0968 593117.TGAM_0970 593117.TGAM_0799 593117.TGAM_0935
NOG04534:	64091.VNG0394C 593117.TGAM_2123
NOG04535:	64091.VNG0245G 593117.TGAM_0490
NOG04536:	64091.VNG2470C 593117.TGAM_0853
NOG04537:	593117.TGAM_1634 64091.VNG2514G
NOG04538:	64091.VNG0247C 593117.TGAM_2087
NOG04539:	64091.VNG1496G 593117.TGAM_1738
NOG04540:	64091.VNG0318G 593117.TGAM_2153 593117.TGAM_1499
NOG04541:	64091.VNG0639G 593117.TGAM_0711
NOG04542:	64091.VNG0281G 593117.TGAM_0360 593117.TGAM_0961
NOG04543:	64091.VNG1756G 593117.TGAM_1422 64091.VNG2234G
NOG04544:	593117.TGAM_1927 64091.VNG2668G
NOG04545:	593117.TGAM_1981 64091.VNG1716G
NOG04546:	593117.TGAM_1995 64091.VNG2584C
NOG04547:	593117.TGAM_0194 64091.VNG1294G 593117.TGAM_1548
NOG04548:	593117.TGAM_1716 64091.VNG0251C
NOG04549:	593117.TGAM_0343 64091.VNG1470G
NOG04550:	64091.VNG2141G 593117.TGAM_0144
NOG04551:	593117.TGAM_0717 64091.VNG2252G
NOG04552:	64091.VNG1595C 593117.TGAM_1435
NOG04553:	64091.VNG2321G 64091.VNG2078G 593117.TGAM_1588 593117.TGAM_1315
NOG04554:	64091.VNG0133G 593117.TGAM_1760
NOG04555:	64091.VNG0468C 593117.TGAM_1305
NOG04556:	64091.VNG1173G 593117.TGAM_0165
NOG04557:	64091.VNG0396C 593117.TGAM_0507
NOG04558:	593117.TGAM_1678 64091.VNG1903Cm
NOG04559:	593117.TGAM_1513 64091.VNG0102C
