##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:48
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/7147.diptera.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/7147.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/7147.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:49
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	7165.AGAP010314-PA 7227.FBpp0070181
NOG05187:	7227.FBpp0086820 7165.AGAP007701-PA
NOG05188:	7165.AGAP011227-PA 7227.FBpp0111505 7165.AGAP011229-PA
NOG05189:	7165.AGAP009562-PA 7227.FBpp0078855
NOG05190:	7165.AGAP003003-PA 7227.FBpp0075168
NOG05191:	7227.FBpp0085814 7165.AGAP008931-PA
NOG05192:	7227.FBpp0082055 7165.AGAP002652-PA 7227.FBpp0078471 7165.AGAP003322-PA
NOG05193:	7165.AGAP007967-PA 7227.FBpp0086691
NOG05194:	7227.FBpp0099678 7165.AGAP005256-PA
NOG05195:	7227.FBpp0085358 7165.AGAP010381-PA
NOG05196:	7165.AGAP002185-PA 7227.FBpp0083213
NOG05197:	7165.AGAP011650-PA 7227.FBpp0288423
NOG05198:	7165.AGAP002721-PA 7227.FBpp0073242
NOG05199:	7165.AGAP004703-PA 7227.FBpp0290035
NOG05200:	7165.AGAP002344-PA 7227.FBpp0305661
NOG05201:	7165.AGAP006391-PA 7227.FBpp0085836
NOG05202:	7165.AGAP003215-PA 7165.AGAP003216-PA 7227.FBpp0083906
NOG05203:	7227.FBpp0077354 7165.AGAP008259-PA 7165.AGAP008260-PA 7227.FBpp0289406 7165.AGAP008258-PA 7165.AGAP013767-PA
NOG05204:	7227.FBpp0072593 7165.AGAP010553-PA
NOG05205:	7227.FBpp0100147 7165.AGAP012183-PA
NOG05206:	7227.FBpp0075632 7165.AGAP004256-PA
NOG05207:	7227.FBpp0071426 7165.AGAP006714-PA
NOG05208:	7165.AGAP001659-PA 7165.AGAP001345-PA 7227.FBpp0088363 7165.AGAP001657-PA
NOG05209:	7227.FBpp0076407 7165.AGAP005545-PA
NOG05210:	7227.FBpp0078664 7165.AGAP008617-PA
NOG05211:	7227.FBpp0301603 7165.AGAP002518-PA
NOG05212:	7165.AGAP009812-PA 7227.FBpp0080660
NOG05213:	7227.FBpp0071028 7165.AGAP009488-PA
NOG05214:	7227.FBpp0073297 7165.AGAP000723-PA
NOG05215:	7165.AGAP001589-PA 7227.FBpp0085169
NOG05216:	7165.AGAP003863-PA 7227.FBpp0084309
NOG05217:	7165.AGAP007214-PA 7227.FBpp0085901
NOG05218:	7165.AGAP008242-PA 7227.FBpp0071821
NOG05219:	7165.AGAP006156-PA 7227.FBpp0304311
NOG05220:	7165.AGAP004585-PA 7227.FBpp0082549
NOG05221:	7165.AGAP010160-PA 7227.FBpp0079625
NOG05222:	7165.AGAP004661-PA 7227.FBpp0082793
NOG05223:	7165.AGAP006601-PB 7227.FBpp0072808
NOG05224:	7165.AGAP001971-PA 7227.FBpp0073035
NOG05225:	7227.FBpp0074288 7165.AGAP012105-PA
NOG05226:	7227.FBpp0076652 7165.AGAP007882-PA
NOG05227:	7227.FBpp0084307 7165.AGAP003536-PA
NOG05228:	7227.FBpp0080826 7165.AGAP008166-PA
NOG05229:	7165.AGAP000880-PC 7227.FBpp0301993
NOG05230:	7227.FBpp0086842 7165.AGAP010427-PA
NOG05231:	7227.FBpp0292449 7165.AGAP009554-PA
NOG05232:	7227.FBpp0074034 7165.AGAP012981-PA 7165.AGAP003200-PA
NOG05233:	7227.FBpp0078764 7165.AGAP003180-PA
NOG05234:	7227.FBpp0076880 7165.AGAP006131-PA
NOG05235:	7227.FBpp0077627 7165.AGAP007540-PA
NOG05236:	7165.AGAP000264-PA 7227.FBpp0080929
NOG05237:	7227.FBpp0087203 7165.AGAP006251-PA
NOG05238:	7165.AGAP009033-PA 7227.FBpp0082814
NOG05239:	7227.FBpp0290496 7165.AGAP010164-PB
NOG05240:	7165.AGAP004135-PA 7227.FBpp0082225
NOG05241:	7165.AGAP006644-PA 7227.FBpp0071760
NOG05242:	7227.FBpp0071268 7165.AGAP010411-PA
NOG05243:	7165.AGAP001559-PA 7227.FBpp0072561
NOG05244:	7165.AGAP000387-PA 7227.FBpp0271784
NOG05245:	7227.FBpp0089163 7165.AGAP011340-PA
NOG05246:	7227.FBpp0076331 7165.AGAP003820-PA
NOG05247:	7165.AGAP000553-PA 7227.FBpp0070468
NOG05248:	7227.FBpp0077125 7165.AGAP008298-PA
NOG05249:	7227.FBpp0078965 7165.AGAP007789-PA
NOG05250:	7227.FBpp0087711 7165.AGAP008305-PA
NOG05251:	7227.FBpp0087341 7165.AGAP010694-PA
NOG05252:	7165.AGAP009965-PA 7227.FBpp0289244 7227.FBpp0079377
NOG05253:	7165.AGAP007102-PA 7227.FBpp0087219
NOG05254:	7165.AGAP000575-PB 7165.AGAP012471-PA 7227.FBpp0070432
NOG05255:	7165.AGAP010984-PA 7227.FBpp0075348
NOG05256:	7165.AGAP028194-PA 7227.FBpp0110448
NOG05257:	7227.FBpp0072658 7165.AGAP008910-PA
NOG05258:	7165.AGAP007377-PA 7227.FBpp0112234
NOG05259:	7227.FBpp0300971 7165.AGAP004865-PA
NOG05260:	7165.AGAP010574-PA 7227.FBpp0071102
NOG05261:	7165.AGAP000679-PA 7227.FBpp0081799
NOG05262:	7227.FBpp0071350 7165.AGAP004685-PA
NOG05263:	7165.AGAP005440-PA 7227.FBpp0305340
NOG05264:	7227.FBpp0087272 7165.AGAP005419-PA
NOG05265:	7165.AGAP003205-PA 7227.FBpp0086661
NOG05266:	7227.FBpp0083844 7165.AGAP000617-PA
NOG05267:	7227.FBpp0077623 7165.AGAP009649-PA
NOG05268:	7165.AGAP007524-PA 7227.FBpp0077930
NOG05269:	7227.FBpp0079896 7165.AGAP007731-PA
NOG05270:	7165.AGAP004521-PA 7227.FBpp0305943
NOG05271:	7227.FBpp0288576 7165.AGAP005727-PA
NOG05272:	7165.AGAP002818-PA 7227.FBpp0289848
NOG05273:	7165.AGAP001429-PA 7227.FBpp0082383
NOG05274:	7165.AGAP002884-PA 7227.FBpp0082139
NOG05275:	7227.FBpp0072691 7165.AGAP007542-PA
NOG05276:	7165.AGAP012096-PA 7227.FBpp0086720
NOG05277:	7227.FBpp0082727 7165.AGAP003992-PA
NOG05278:	7165.AGAP010386-PA 7227.FBpp0070162
NOG05279:	7165.AGAP003825-PA 7227.FBpp0081841
NOG05280:	7227.FBpp0070175 7165.AGAP011961-PA
NOG05281:	7227.FBpp0083452 7165.AGAP002287-PA
NOG05282:	7165.AGAP009539-PA 7227.FBpp0077714
NOG05284:	7227.FBpp0084221 7165.AGAP003995-PA
NOG05285:	7227.FBpp0071753 7165.AGAP000890-PA
NOG05287:	7165.AGAP007606-PA 7227.FBpp0271777
NOG05288:	7227.FBpp0074638 7165.AGAP011968-PA
NOG05289:	7165.AGAP006702-PA 7227.FBpp0288542
NOG05290:	7227.FBpp0079663 7165.AGAP009511-PA
NOG05291:	7165.AGAP000430-PA 7227.FBpp0303071
NOG05292:	7227.FBpp0074594 7165.AGAP011661-PA
NOG05293:	7165.AGAP007726-PA 7227.FBpp0099488
NOG05294:	7165.AGAP007712-PA 7227.FBpp0302998
NOG05295:	7165.AGAP008147-PA 7227.FBpp0080746
NOG05296:	7227.FBpp0294031 7165.AGAP000726-PA
NOG05297:	7227.FBpp0075118 7165.AGAP004992-PA
NOG05298:	7165.AGAP012944-PA 7227.FBpp0083897 7165.AGAP004210-PA
NOG05299:	7227.FBpp0081972 7165.AGAP004428-PA
NOG05300:	7227.FBpp0080211 7165.AGAP008159-PA
NOG05301:	7165.AGAP010924-PA 7227.FBpp0075519
NOG05302:	7165.AGAP007422-PA 7227.FBpp0072075
NOG05303:	7165.AGAP006461-PA 7227.FBpp0074733
NOG05304:	7227.FBpp0072056 7165.AGAP004746-PA
NOG05305:	7227.FBpp0289571 7165.AGAP013380-PA
NOG05306:	7165.AGAP003004-PA 7227.FBpp0071136
NOG05307:	7227.FBpp0087511 7165.AGAP007644-PA
NOG05308:	7165.AGAP004419-PA 7227.FBpp0070811
NOG05309:	7165.AGAP007945-PA 7227.FBpp0081034
NOG05310:	7227.FBpp0077905 7165.AGAP011055-PA
NOG05311:	7165.AGAP004136-PA 7227.FBpp0082261
NOG05312:	7165.AGAP007054-PA 7227.FBpp0074848 7165.AGAP007055-PA
NOG05313:	7227.FBpp0290370 7165.AGAP002000-PA
NOG05314:	7227.FBpp0072162 7165.AGAP005582-PA
NOG05315:	7227.FBpp0305756 7165.AGAP011422-PA
NOG05316:	7165.AGAP013747-PA 7227.FBpp0080255
NOG05317:	7165.AGAP004311-PA 7227.FBpp0303077
NOG05318:	7227.FBpp0078362 7165.AGAP001362-PA
NOG05319:	7165.AGAP011744-PA 7227.FBpp0074907
NOG05320:	7165.AGAP002605-PA 7227.FBpp0070730
NOG05321:	7227.FBpp0073292 7165.AGAP003008-PA
NOG05322:	7165.AGAP000509-PA 7227.FBpp0074464
NOG05323:	7227.FBpp0072081 7165.AGAP011284-PA
NOG05324:	7227.FBpp0080619 7165.AGAP008350-PA
NOG05325:	7165.AGAP000023-PA 7227.FBpp0071270
NOG05326:	7165.AGAP002017-PA 7227.FBpp0070103
NOG05327:	7165.AGAP004881-PA 7227.FBpp0076718
NOG05328:	7165.AGAP008816-PA 7227.FBpp0086066
NOG05329:	7165.AGAP000829-PB 7227.FBpp0088620
NOG05330:	7227.FBpp0079456 7165.AGAP002159-PA
NOG05331:	7165.AGAP003622-PA 7227.FBpp0077636
NOG05332:	7227.FBpp0073719 7165.AGAP000652-PA
NOG05333:	7227.FBpp0072072 7165.AGAP007722-PA
NOG05334:	7165.AGAP000939-PA 7227.FBpp0073975
NOG05335:	7165.AGAP004704-PA 7227.FBpp0071262
NOG05336:	7165.AGAP007285-PA 7227.FBpp0100046
NOG05337:	7165.AGAP010793-PA 7227.FBpp0071252
NOG05338:	7165.AGAP013223-PA 7165.AGAP004177-PA 7227.FBpp0083225
NOG05339:	7165.AGAP002289-PA 7227.FBpp0083855
NOG05340:	7227.FBpp0074451 7165.AGAP000718-PA 7227.FBpp0074460
NOG05341:	7227.FBpp0303431 7165.AGAP000532-PA
NOG05342:	7165.AGAP002748-PA 7227.FBpp0084728
NOG05343:	7227.FBpp0070176 7165.AGAP002536-PA
NOG05345:	7227.FBpp0301780 7165.AGAP009762-PA
NOG05346:	7227.FBpp0112956 7165.AGAP010402-PA 7165.AGAP013018-PA
NOG05347:	7227.FBpp0292503 7165.AGAP009588-PA
NOG05348:	7227.FBpp0081556 7165.AGAP011126-PA
NOG05349:	7165.AGAP005412-PA 7227.FBpp0289344 7227.FBpp0271859
NOG05350:	7165.AGAP009005-PA 7227.FBpp0292109
NOG05351:	7165.AGAP006043-PA 7227.FBpp0290661
NOG05352:	7165.AGAP000786-PA 7227.FBpp0073400
NOG05353:	7165.AGAP004776-PA 7227.FBpp0084787
NOG05354:	7165.AGAP000865-PA 7227.FBpp0111832
NOG05355:	7165.AGAP001141-PB 7227.FBpp0302971
NOG05356:	7165.AGAP012045-PA 7227.FBpp0071084
NOG05357:	7227.FBpp0084457 7165.AGAP000188-PA
NOG05358:	7165.AGAP001050-PA 7227.FBpp0297743
NOG05359:	7165.AGAP008950-PA 7227.FBpp0074150
NOG05360:	7227.FBpp0071272 7165.AGAP001021-PA
NOG05361:	7227.FBpp0084725 7165.AGAP001555-PA
NOG05362:	7165.AGAP001865-PA 7227.FBpp0302563
NOG05363:	7165.AGAP004657-PA 7227.FBpp0112618
NOG05364:	7227.FBpp0303237 7165.AGAP010138-PA
NOG05365:	7227.FBpp0075012 7165.AGAP006949-PA
NOG05366:	7227.FBpp0112384 7165.AGAP001038-PA
NOG05367:	7227.FBpp0082601 7165.AGAP001234-PA
NOG05368:	7227.FBpp0077702 7165.AGAP007506-PA
NOG05369:	7165.AGAP001094-PA 7227.FBpp0076971
NOG05370:	7165.AGAP009050-PA 7227.FBpp0292051
NOG05371:	7227.FBpp0290447 7165.AGAP009972-PA
NOG05372:	7227.FBpp0075941 7165.AGAP010450-PA
NOG05373:	7165.AGAP002825-PA 7227.FBpp0087744
NOG05374:	7227.FBpp0298271 7165.AGAP002494-PA
NOG05375:	7165.AGAP004556-PA 7227.FBpp0083415
NOG05376:	7227.FBpp0075042 7165.AGAP006653-PA
NOG05377:	7227.FBpp0289380 7165.AGAP005043-PA
NOG05378:	7227.FBpp0081302 7165.AGAP001586-PA
NOG05379:	7165.AGAP011801-PA 7227.FBpp0075096
NOG05380:	7165.AGAP010850-PA 7227.FBpp0289308
NOG05381:	7165.AGAP012378-PA 7227.FBpp0304913
NOG05382:	7227.FBpp0075704 7165.AGAP006239-PA
NOG05383:	7227.FBpp0074780 7165.AGAP006058-PA
NOG05384:	7165.AGAP002954-PA 7227.FBpp0072468
NOG05385:	7227.FBpp0085252 7165.AGAP009315-PA
NOG05386:	7227.FBpp0289897 7165.AGAP003010-PA
NOG05387:	7165.AGAP001463-PA 7227.FBpp0084210
NOG05388:	7227.FBpp0073036 7165.AGAP006687-PA
NOG05389:	7165.AGAP001713-PA 7227.FBpp0082095
NOG05390:	7227.FBpp0291141 7165.AGAP007923-PA
NOG05391:	7227.FBpp0083290 7165.AGAP002943-PA
NOG05392:	7227.FBpp0078553 7165.AGAP004519-PA
NOG05393:	7165.AGAP009203-PA 7227.FBpp0078643
NOG05394:	7227.FBpp0089220 7165.AGAP002156-PA
NOG05395:	7165.AGAP008433-PA 7227.FBpp0088583
NOG05396:	7227.FBpp0291534 7165.AGAP003156-PA
NOG05397:	7227.FBpp0112380 7165.AGAP001916-PA
NOG05398:	7165.AGAP006956-PA 7227.FBpp0072195
NOG05399:	7165.AGAP007854-PA 7165.AGAP013721-PA 7227.FBpp0292372
NOG05400:	7227.FBpp0082163 7165.AGAP010622-PA
NOG05401:	7227.FBpp0071064 7165.AGAP000223-PA
NOG05402:	7165.AGAP003014-PA 7227.FBpp0305896
NOG05403:	7227.FBpp0305729 7165.AGAP003028-PA
NOG05404:	7227.FBpp0300390 7165.AGAP008202-PA
NOG05405:	7227.FBpp0305934 7165.AGAP001084-PA
NOG05406:	7227.FBpp0082002 7165.AGAP002891-PB
NOG05407:	7227.FBpp0304070 7165.AGAP002651-PA
NOG05408:	7165.AGAP007537-PA 7227.FBpp0074851
NOG05409:	7227.FBpp0072489 7165.AGAP002601-PB
NOG05410:	7227.FBpp0288495 7165.AGAP002913-PA
NOG05411:	7165.AGAP007299-PA 7227.FBpp0076408
NOG05412:	7165.AGAP005170-PA 7227.FBpp0086349
NOG05413:	7227.FBpp0083846 7165.AGAP002890-PB
NOG05414:	7227.FBpp0070141 7165.AGAP006477-PA
NOG05415:	7165.AGAP011448-PA 7227.FBpp0086223
NOG05416:	7227.FBpp0290558 7165.AGAP011823-PA
NOG05417:	7165.AGAP004146-PA 7227.FBpp0083503
NOG05418:	7165.AGAP006237-PA 7227.FBpp0076374
NOG05419:	7227.FBpp0086101 7165.AGAP009810-PA
NOG05420:	7227.FBpp0087533 7165.AGAP005515-PA
NOG05421:	7165.AGAP002801-PA 7227.FBpp0070612
NOG05422:	7165.AGAP002171-PA 7227.FBpp0078997
NOG05423:	7165.AGAP010267-PA 7227.FBpp0084240
NOG05424:	7165.AGAP001441-PA 7227.FBpp0111469
NOG05425:	7227.FBpp0076548 7165.AGAP004840-PA
NOG05426:	7227.FBpp0081987 7165.AGAP003579-PA
NOG05427:	7227.FBpp0293662 7165.AGAP002145-PA
NOG05428:	7165.AGAP007088-PA 7227.FBpp0071844
NOG05429:	7165.AGAP009694-PA 7227.FBpp0071226
NOG05430:	7165.AGAP000856-PA 7227.FBpp0073720
NOG05431:	7165.AGAP003714-PA 7227.FBpp0289120
NOG05432:	7165.AGAP006762-PA 7227.FBpp0300813
NOG05433:	7227.FBpp0087129 7165.AGAP011811-PA
NOG05434:	7227.FBpp0077363 7165.AGAP010457-PA
NOG05435:	7165.AGAP010041-PA 7227.FBpp0078846
NOG05436:	7165.AGAP000332-PA 7227.FBpp0071946
NOG05437:	7227.FBpp0078501 7165.AGAP001945-PA
NOG05438:	7227.FBpp0297341 7165.AGAP008801-PE
NOG05439:	7165.AGAP006938-PA 7227.FBpp0113056
NOG05440:	7165.AGAP011080-PA 7227.FBpp0072572
NOG05441:	7227.FBpp0080057 7165.AGAP009681-PA
NOG05442:	7227.FBpp0082932 7165.AGAP004038-PA
NOG05443:	7227.FBpp0083654 7165.AGAP008781-PA
NOG05444:	7227.FBpp0079912 7165.AGAP009236-PA
NOG05445:	7227.FBpp0298348 7165.AGAP005153-PA
NOG05446:	7227.FBpp0074386 7165.AGAP000951-PA
NOG05447:	7227.FBpp0077781 7165.AGAP009990-PA
NOG05448:	7227.FBpp0099821 7165.AGAP008827-PA
NOG05449:	7165.AGAP009447-PA 7227.FBpp0088926
NOG05450:	7165.AGAP001958-PA 7227.FBpp0083150
NOG05451:	7227.FBpp0300412 7165.AGAP009907-PA
NOG05452:	7165.AGAP001947-PA 7227.FBpp0303409
NOG05453:	7165.AGAP011798-PA 7227.FBpp0088517
NOG05454:	7165.AGAP005832-PB 7227.FBpp0293627
NOG05455:	7165.AGAP009695-PA 7227.FBpp0079801
NOG05456:	7227.FBpp0072607 7165.AGAP011086-PA
NOG05457:	7227.FBpp0087821 7165.AGAP012398-PA
NOG05458:	7165.AGAP000460-PA 7227.FBpp0300205
NOG05459:	7165.AGAP008783-PA 7227.FBpp0070083
NOG05460:	7165.AGAP007549-PA 7227.FBpp0088184
NOG05461:	7227.FBpp0072227 7165.AGAP012287-PA
NOG05462:	7227.FBpp0079109 7165.AGAP008440-PA
NOG05463:	7165.AGAP007138-PA 7227.FBpp0074192
NOG05464:	7227.FBpp0072158 7165.AGAP011217-PA
NOG05465:	7227.FBpp0075697 7165.AGAP005007-PA
NOG05466:	7165.AGAP002762-PA 7227.FBpp0081401
NOG05467:	7165.AGAP004701-PA 7227.FBpp0305709
NOG05468:	7165.AGAP010260-PA 7227.FBpp0303063
NOG05469:	7165.AGAP011487-PA 7227.FBpp0086007
NOG05470:	7165.AGAP001143-PA 7227.FBpp0078414
NOG05471:	7165.AGAP004236-PA 7227.FBpp0079258
NOG05472:	7227.FBpp0086648 7165.AGAP011817-PA
NOG05473:	7165.AGAP000162-PA 7227.FBpp0076937
NOG05474:	7165.AGAP002066-PA 7227.FBpp0083624
NOG05475:	7165.AGAP004579-PA 7227.FBpp0289675
NOG05476:	7227.FBpp0081333 7165.AGAP005715-PA
NOG05477:	7227.FBpp0080903 7165.AGAP007878-PA
NOG05478:	7227.FBpp0088855 7165.AGAP002614-PA
NOG05479:	7165.AGAP011353-PA 7227.FBpp0075693
NOG05480:	7165.AGAP010646-PA 7227.FBpp0075424
NOG05481:	7165.AGAP002170-PA 7227.FBpp0074226
NOG05482:	7227.FBpp0291376 7165.AGAP005394-PA
NOG05483:	7227.FBpp0297722 7165.AGAP010426-PA
NOG05484:	7165.AGAP008763-PA 7227.FBpp0079497
NOG05485:	7165.AGAP008489-PA 7227.FBpp0079317
NOG05486:	7227.FBpp0079595 7165.AGAP008946-PA
NOG05487:	7165.AGAP007607-PA 7227.FBpp0111965
NOG05488:	7165.AGAP005116-PA 7227.FBpp0071543
NOG05489:	7227.FBpp0081866 7165.AGAP001217-PA
NOG05490:	7227.FBpp0071597 7165.AGAP028121-PA 7165.AGAP028203-PA
NOG05491:	7165.AGAP003586-PA 7165.AGAP013333-PA 7227.FBpp0075461
NOG05492:	7165.AGAP001908-PA 7227.FBpp0303401
NOG05493:	7165.AGAP006541-PA 7227.FBpp0075971
NOG05494:	7227.FBpp0080905 7165.AGAP008952-PC
NOG05495:	7227.FBpp0087746 7165.AGAP009000-PA
NOG05496:	7227.FBpp0080386 7165.AGAP010077-PA
NOG05497:	7227.FBpp0084788 7165.AGAP008285-PA
NOG05498:	7227.FBpp0079500 7165.AGAP003768-PA
NOG05499:	7227.FBpp0290894 7165.AGAP003115-PA
NOG05500:	7165.AGAP005316-PA 7227.FBpp0087704
NOG05501:	7165.AGAP009143-PA 7227.FBpp0297894
NOG05502:	7165.AGAP003497-PA 7227.FBpp0075370
NOG05503:	7165.AGAP001255-PA 7227.FBpp0075458
NOG05504:	7165.AGAP008845-PA 7227.FBpp0072021
NOG05505:	7165.AGAP010042-PA 7227.FBpp0305305
NOG05506:	7227.FBpp0111775 7165.AGAP009642-PA
NOG05507:	7227.FBpp0077891 7165.AGAP004069-PA
NOG05508:	7227.FBpp0079875 7165.AGAP010089-PA
NOG05509:	7227.FBpp0084761 7165.AGAP000883-PA
NOG05510:	7227.FBpp0075674 7165.AGAP001027-PA
NOG05511:	7227.FBpp0302810 7165.AGAP012241-PA
NOG05512:	7165.AGAP000309-PA 7227.FBpp0074279
NOG05513:	7227.FBpp0075979 7165.AGAP009901-PA
NOG05514:	7165.AGAP012108-PA 7227.FBpp0070558
NOG05515:	7165.AGAP005856-PA 7227.FBpp0087514
NOG05516:	7227.FBpp0077898 7165.AGAP006974-PA
NOG05517:	7165.AGAP005634-PA 7227.FBpp0297108
NOG05518:	7165.AGAP003050-PA 7227.FBpp0084938
NOG05519:	7165.AGAP010681-PA 7227.FBpp0072168
NOG05520:	7165.AGAP002490-PA 7227.FBpp0084212
NOG05521:	7165.AGAP003560-PA 7227.FBpp0074831
NOG05522:	7165.AGAP008334-PA 7227.FBpp0080927
NOG05523:	7165.AGAP001681-PA 7227.FBpp0078927
NOG05524:	7227.FBpp0089339 7165.AGAP011038-PA
NOG05525:	7165.AGAP011652-PA 7227.FBpp0072937
NOG05526:	7165.AGAP010390-PA 7227.FBpp0086625
NOG05527:	7165.AGAP000378-PA 7227.FBpp0111894
NOG05528:	7165.AGAP001130-PA 7227.FBpp0301888
NOG05529:	7227.FBpp0078326 7165.AGAP001694-PA
NOG05530:	7227.FBpp0293883 7165.AGAP003092-PA
NOG05531:	7165.AGAP002970-PA 7227.FBpp0086416
NOG05532:	7165.AGAP009628-PA 7227.FBpp0088843
NOG05533:	7165.AGAP011374-PA 7227.FBpp0081592
NOG05534:	7165.AGAP028061-PA 7227.FBpp0304605
NOG05535:	7165.AGAP008965-PA 7227.FBpp0079859 7227.FBpp0079860
NOG05536:	7165.AGAP000530-PA 7227.FBpp0291513
NOG05537:	7165.AGAP007145-PA 7227.FBpp0074707
NOG05538:	7165.AGAP004653-PA 7227.FBpp0084901
NOG05539:	7227.FBpp0083255 7165.AGAP001444-PA
NOG05540:	7165.AGAP011254-PA 7227.FBpp0076438
NOG05541:	7165.AGAP000984-PA 7227.FBpp0070648
NOG05542:	7227.FBpp0086599 7165.AGAP012083-PA 7165.AGAP012080-PA
NOG05543:	7165.AGAP005711-PA 7227.FBpp0099478
NOG05544:	7227.FBpp0086314 7165.AGAP009046-PA
NOG05545:	7165.AGAP002047-PA 7227.FBpp0084036
NOG05546:	7165.AGAP009568-PA 7227.FBpp0293284
NOG05547:	7165.AGAP002173-PA 7227.FBpp0084418
NOG05548:	7227.FBpp0304005 7165.AGAP008042-PA
NOG05549:	7227.FBpp0077468 7165.AGAP009225-PA 7165.AGAP009945-PA
NOG05550:	7227.FBpp0081489 7165.AGAP001160-PA
NOG05551:	7165.AGAP011684-PA 7227.FBpp0303439 7165.AGAP000725-PA
NOG05552:	7165.AGAP008673-PA 7227.FBpp0082433
NOG05553:	7227.FBpp0078964 7165.AGAP008726-PA
NOG05554:	7165.AGAP005886-PA 7227.FBpp0302831
NOG05555:	7165.AGAP000091-PA 7227.FBpp0073618
NOG05557:	7227.FBpp0076457 7165.AGAP008637-PA
NOG05558:	7165.AGAP003727-PA 7227.FBpp0081284
NOG05559:	7165.AGAP012856-PA 7227.FBpp0077674
NOG05560:	7227.FBpp0087756 7165.AGAP009655-PA
NOG05561:	7165.AGAP012165-PA 7227.FBpp0073145 7227.FBpp0099382
NOG05562:	7165.AGAP000843-PA 7227.FBpp0084303
NOG05563:	7227.FBpp0080183 7165.AGAP008347-PA
NOG05564:	7227.FBpp0110299 7165.AGAP000869-PA
NOG05565:	7165.AGAP003921-PA 7227.FBpp0111727
NOG05566:	7165.AGAP005220-PA 7227.FBpp0087712
NOG05567:	7165.AGAP001367-PA 7227.FBpp0075919
NOG05568:	7227.FBpp0072753 7165.AGAP007631-PA
NOG05569:	7165.AGAP009700-PA 7227.FBpp0079266
NOG05570:	7227.FBpp0076839 7165.AGAP006063-PA
NOG05571:	7227.FBpp0081847 7165.AGAP004461-PA
NOG05572:	7165.AGAP002616-PA 7227.FBpp0081369
NOG05573:	7227.FBpp0071822 7165.AGAP004962-PA 7165.AGAP004963-PA
NOG05574:	7165.AGAP003654-PA 7227.FBpp0300789
NOG05575:	7165.AGAP008771-PA 7227.FBpp0078633 7165.AGAP012796-PA
NOG05576:	7227.FBpp0081828 7165.AGAP004909-PA
NOG05577:	7165.AGAP002761-PA 7227.FBpp0085460
NOG05578:	7165.AGAP007373-PA 7227.FBpp0303596
NOG05579:	7227.FBpp0087351 7165.AGAP005323-PA
NOG05580:	7165.AGAP002712-PA 7227.FBpp0073526
NOG05581:	7227.FBpp0303724 7165.AGAP008577-PA 7227.FBpp0077635
NOG05582:	7165.AGAP003339-PA 7227.FBpp0073977 7227.FBpp0085625
NOG05583:	7165.AGAP003155-PA 7227.FBpp0083317
NOG05584:	7165.AGAP007175-PA 7227.FBpp0076411
NOG05585:	7227.FBpp0301121 7165.AGAP004852-PA
NOG05586:	7165.AGAP007522-PA 7227.FBpp0072061
NOG05587:	7165.AGAP011814-PA 7227.FBpp0087138
NOG05588:	7227.FBpp0086519 7165.AGAP005321-PA
NOG05589:	7227.FBpp0077795 7165.AGAP008626-PA
NOG05590:	7165.AGAP003715-PA 7227.FBpp0078604
NOG05591:	7227.FBpp0077739 7165.AGAP009494-PA
NOG05592:	7165.AGAP004880-PA 7227.FBpp0304375
NOG05593:	7227.FBpp0288814 7165.AGAP009736-PA
NOG05594:	7165.AGAP000771-PA 7227.FBpp0083533
NOG05595:	7165.AGAP002578-PA 7227.FBpp0298326
NOG05596:	7227.FBpp0087917 7165.AGAP012444-PA
NOG05597:	7165.AGAP005288-PA 7227.FBpp0297567
NOG05598:	7165.AGAP002411-PB 7227.FBpp0083666
NOG05599:	7165.AGAP005230-PA 7227.FBpp0291785
NOG05600:	7165.AGAP001907-PA 7227.FBpp0082005
NOG05601:	7165.AGAP006124-PA 7227.FBpp0072898
NOG05602:	7165.AGAP005940-PA 7227.FBpp0072940
NOG05603:	7165.AGAP006678-PA 7227.FBpp0305335
NOG05604:	7227.FBpp0084662 7165.AGAP001670-PA
NOG05605:	7227.FBpp0304672 7165.AGAP000634-PA
NOG05606:	7165.AGAP007942-PA 7227.FBpp0077410
NOG05607:	7165.AGAP010438-PA 7227.FBpp0077870
NOG05608:	7227.FBpp0081008 7165.AGAP009400-PA
NOG05609:	7165.AGAP009944-PA 7227.FBpp0300161 7165.AGAP003578-PA
NOG05610:	7165.AGAP008588-PA 7227.FBpp0289821
NOG05611:	7165.AGAP011302-PA 7227.FBpp0076794 7227.FBpp0083450 7165.AGAP028096-PA
