##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/1117.cyanobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/1117.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/1117.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	449447.MAE_31170 1148.SYNGTS_0814
NOG04430:	1148.SYNGTS_2514 449447.MAE_60970
NOG04431:	1148.SYNGTS_1695 449447.MAE_14710
NOG04432:	1148.SYNGTS_0187 449447.MAE_38470
NOG04433:	449447.MAE_50480 1148.SYNGTS_0992
NOG04434:	449447.MAE_27440 1148.SYNGTS_0267
NOG04435:	1148.SYNGTS_1514 449447.MAE_02600
NOG04436:	1148.SYNGTS_3135 449447.MAE_02090
NOG04437:	449447.MAE_02700 1148.SYNGTS_1177 449447.MAE_02710
NOG04438:	449447.MAE_24510 1148.SYNGTS_1101
NOG04439:	449447.MAE_02780 1148.SYNGTS_0802
NOG04440:	449447.MAE_07320 1148.SYNGTS_1893
NOG04441:	1148.SYNGTS_2805 449447.MAE_00970
NOG04442:	449447.MAE_19220 1148.SYNGTS_1054
NOG04443:	449447.MAE_27510 1148.SYNGTS_2864
NOG04444:	1148.SYNGTS_1244 449447.MAE_56410
NOG04445:	449447.MAE_07710 1148.SYNGTS_0565
NOG04446:	1148.SYNGTS_1637 449447.MAE_28240
NOG04447:	1148.SYNGTS_2849 449447.MAE_55430
NOG04448:	449447.MAE_50330 1148.SYNGTS_2538
NOG04449:	1148.SYNGTS_0250 449447.MAE_44400
NOG04450:	449447.MAE_59110 1148.SYNGTS_3045
NOG04451:	449447.MAE_06010 1148.SYNGTS_1408
NOG04452:	449447.MAE_08140 1148.SYNGTS_0234
NOG04453:	449447.MAE_38540 1148.SYNGTS_2640
NOG04454:	449447.MAE_36030 1148.SYNGTS_2443
NOG04455:	1148.SYNGTS_0045 449447.MAE_00190
NOG04456:	1148.SYNGTS_1180 449447.MAE_15830
NOG04457:	1148.SYNGTS_2690 449447.MAE_14910
NOG04458:	449447.MAE_42490 1148.SYNGTS_3144
NOG04459:	1148.SYNGTS_0207 449447.MAE_02320
NOG04460:	449447.MAE_12330 1148.SYNGTS_2615
NOG04461:	449447.MAE_58680 1148.SYNGTS_1159
NOG04462:	449447.MAE_36080 1148.SYNGTS_0110
NOG04463:	449447.MAE_25380 1148.SYNGTS_2866
NOG04464:	1148.SYNGTS_0261 1148.SYNGTS_1089 449447.MAE_56860 449447.MAE_08340 1148.SYNGTS_1319
NOG04465:	1148.SYNGTS_1594 449447.MAE_53570
NOG04466:	449447.MAE_56010 1148.SYNGTS_2558
NOG04467:	1148.SYNGTS_0581 449447.MAE_05210 449447.MAE_05220 449447.MAE_05160 1148.SYNGTS_0905
NOG04468:	449447.MAE_50430 1148.SYNGTS_1230
NOG04469:	1148.SYNGTS_1869 449447.MAE_15780
NOG04470:	1148.SYNGTS_3065 449447.MAE_10010
NOG04471:	1148.SYNGTS_1003 449447.MAE_62470
NOG04472:	449447.MAE_10890 1148.SYNGTS_0326
NOG04473:	1148.SYNGTS_0878 449447.MAE_33970
NOG04474:	1148.SYNGTS_0714 449447.MAE_22940
NOG04475:	449447.MAE_12310 1148.SYNGTS_2974
NOG04476:	449447.MAE_14930 1148.SYNGTS_0288
NOG04477:	449447.MAE_35660 1148.SYNGTS_2712
NOG04478:	1148.SYNGTS_0953 449447.MAE_05360
NOG04479:	449447.MAE_59740 1148.SYNGTS_2925
NOG04480:	449447.MAE_37190 1148.SYNGTS_2584
NOG04481:	1148.SYNGTS_1332 449447.MAE_16000
NOG04482:	1148.SYNGTS_2908 449447.MAE_62670
NOG04483:	449447.MAE_09740 1148.SYNGTS_1703
NOG04484:	449447.MAE_09800 1148.SYNGTS_1287
NOG04485:	1148.SYNGTS_1499 449447.MAE_38370
NOG04486:	449447.MAE_19090 1148.SYNGTS_0900
NOG04487:	449447.MAE_21500 1148.SYNGTS_2083
NOG04488:	1148.SYNGTS_1323 449447.MAE_15990
NOG04489:	449447.MAE_23320 1148.SYNGTS_0674
NOG04490:	449447.MAE_30010 1148.SYNGTS_1162
NOG04491:	449447.MAE_30070 1148.SYNGTS_1531
NOG04492:	1148.SYNGTS_0423 449447.MAE_08190
NOG04493:	449447.MAE_54520 1148.SYNGTS_0790
NOG04494:	449447.MAE_14300 1148.SYNGTS_0050
NOG04495:	1148.SYNGTS_0860 449447.MAE_15140
NOG04496:	449447.MAE_59120 1148.SYNGTS_3073
NOG04497:	449447.MAE_33600 1148.SYNGTS_0177
NOG04498:	449447.MAE_42400 1148.SYNGTS_2917
NOG04499:	1148.SYNGTS_1439 449447.MAE_18670
NOG04500:	1148.SYNGTS_2709 449447.MAE_22590
NOG04501:	1148.SYNGTS_0568 449447.MAE_05460
NOG04502:	449447.MAE_00210 1148.SYNGTS_1452
NOG04503:	449447.MAE_15110 1148.SYNGTS_1348
NOG04504:	449447.MAE_14460 1148.SYNGTS_0213
NOG04505:	449447.MAE_57560 1148.SYNGTS_2637
NOG04506:	449447.MAE_59680 1148.SYNGTS_2893
NOG04507:	449447.MAE_06300 1148.SYNGTS_0304
NOG04508:	449447.MAE_23860 1148.SYNGTS_1844
NOG04509:	449447.MAE_49170 1148.SYNGTS_1117
NOG04510:	449447.MAE_50050 1148.SYNGTS_1307
NOG04511:	1148.SYNGTS_2841 449447.MAE_20000
NOG04512:	1148.SYNGTS_2887 449447.MAE_06650
NOG04513:	1148.SYNGTS_1208 449447.MAE_55580
NOG04514:	449447.MAE_02820 1148.SYNGTS_0897
NOG04515:	449447.MAE_50360 1148.SYNGTS_2673
NOG04516:	449447.MAE_49370 1148.SYNGTS_2079
NOG04517:	449447.MAE_33890 1148.SYNGTS_2308
NOG04518:	1148.SYNGTS_2184 449447.MAE_33570
NOG04519:	449447.MAE_43440 1148.SYNGTS_3146
NOG04520:	1148.SYNGTS_1850 449447.MAE_28350
NOG04521:	1148.SYNGTS_2436 449447.MAE_50300
NOG04522:	1148.SYNGTS_1586 449447.MAE_32280
NOG04523:	449447.MAE_32380 1148.SYNGTS_2542
NOG04524:	1148.SYNGTS_1515 449447.MAE_44840
NOG04525:	449447.MAE_27460 1148.SYNGTS_1314
NOG04526:	1148.SYNGTS_1735 449447.MAE_13560
NOG04527:	449447.MAE_05890 1148.SYNGTS_0473
NOG04528:	1148.SYNGTS_2168 449447.MAE_15390
NOG04529:	449447.MAE_11890 1148.SYNGTS_2801
NOG04530:	449447.MAE_16590 1148.SYNGTS_1593
NOG04531:	1148.SYNGTS_2177 449447.MAE_40250
NOG04532:	1148.SYNGTS_0464 449447.MAE_12190
NOG04533:	449447.MAE_05370 1148.SYNGTS_0642
NOG04534:	1148.SYNGTS_1562 449447.MAE_61690
NOG04535:	449447.MAE_01830 1148.SYNGTS_1435
NOG04536:	449447.MAE_36950 1148.SYNGTS_1335
NOG04537:	1148.SYNGTS_1181 449447.MAE_52900
NOG04538:	1148.SYNGTS_0996 449447.MAE_43910
NOG04539:	449447.MAE_28530 1148.SYNGTS_2022
NOG04540:	1148.SYNGTS_0141 449447.MAE_51260
NOG04541:	449447.MAE_35770 1148.SYNGTS_0279
NOG04542:	449447.MAE_25340 1148.SYNGTS_2126
NOG04543:	1148.SYNGTS_1800 449447.MAE_45040
NOG04544:	449447.MAE_28070 1148.SYNGTS_0312
NOG04545:	1148.SYNGTS_2387 449447.MAE_52930
NOG04546:	449447.MAE_17310 1148.SYNGTS_0046
NOG04547:	449447.MAE_11790 1148.SYNGTS_0301
NOG04548:	449447.MAE_06350 1148.SYNGTS_1886
NOG04549:	449447.MAE_41140 1148.SYNGTS_0883
NOG04550:	449447.MAE_62730 1148.SYNGTS_2903
NOG04551:	449447.MAE_55950 1148.SYNGTS_0145
NOG04552:	1148.SYNGTS_1498 449447.MAE_33710
NOG04553:	449447.MAE_20180 1148.SYNGTS_1012
NOG04554:	449447.MAE_52520 1148.SYNGTS_0749
NOG04555:	449447.MAE_24230 1148.SYNGTS_0397
NOG04556:	1148.SYNGTS_0922 449447.MAE_26420
NOG04557:	449447.MAE_20060 1148.SYNGTS_2351
NOG04558:	449447.MAE_60760 1148.SYNGTS_2080
NOG04559:	1148.SYNGTS_2032 449447.MAE_46630
NOG04560:	449447.MAE_42320 1148.SYNGTS_1235
NOG04561:	449447.MAE_14590 1148.SYNGTS_0066
NOG04562:	1148.SYNGTS_0769 449447.MAE_57370
NOG04563:	1148.SYNGTS_1321 449447.MAE_08270
NOG04564:	1148.SYNGTS_2121 449447.MAE_51220
NOG04565:	449447.MAE_23290 1148.SYNGTS_0112
NOG04566:	449447.MAE_08810 1148.SYNGTS_0777
NOG04567:	449447.MAE_45980 1148.SYNGTS_0931
NOG04568:	449447.MAE_18140 1148.SYNGTS_1536
NOG04569:	449447.MAE_15160 1148.SYNGTS_0859
NOG04570:	449447.MAE_00310 1148.SYNGTS_2339
NOG04571:	1148.SYNGTS_1493 449447.MAE_26120
NOG04572:	449447.MAE_62090 1148.SYNGTS_1444
NOG04573:	1148.SYNGTS_0113 449447.MAE_14550
NOG04574:	1148.SYNGTS_1262 449447.MAE_18300
NOG04575:	449447.MAE_31510 1148.SYNGTS_2951
NOG04576:	449447.MAE_28280 1148.SYNGTS_0466
NOG04577:	1148.SYNGTS_2869 449447.MAE_62880
NOG04578:	449447.MAE_42210 1148.SYNGTS_0262
NOG04579:	449447.MAE_44930 1148.SYNGTS_1572
NOG04580:	1148.SYNGTS_0987 449447.MAE_08890
NOG04581:	449447.MAE_32220 1148.SYNGTS_0993
NOG04582:	1148.SYNGTS_1192 449447.MAE_43650
NOG04583:	449447.MAE_50840 1148.SYNGTS_0154
NOG04584:	449447.MAE_39150 1148.SYNGTS_2318
NOG04585:	1148.SYNGTS_1982 449447.MAE_17370
NOG04586:	1148.SYNGTS_2838 449447.MAE_14440
NOG04587:	1148.SYNGTS_0805 449447.MAE_36510
NOG04588:	1148.SYNGTS_0272 449447.MAE_61770
NOG04589:	449447.MAE_04530 1148.SYNGTS_0090
NOG04590:	1148.SYNGTS_0348 449447.MAE_03160
NOG04591:	449447.MAE_49450 1148.SYNGTS_2327
NOG04592:	449447.MAE_32960 1148.SYNGTS_2981
NOG04593:	449447.MAE_40050 1148.SYNGTS_0133
NOG04594:	449447.MAE_32490 1148.SYNGTS_2513
NOG04595:	449447.MAE_06200 1148.SYNGTS_0808
NOG04596:	449447.MAE_23770 449447.MAE_23790 1148.SYNGTS_0677 449447.MAE_23750
NOG04597:	449447.MAE_58670 1148.SYNGTS_0551
NOG04598:	449447.MAE_50020 1148.SYNGTS_1764
NOG04599:	449447.MAE_39010 1148.SYNGTS_2231
NOG04600:	1148.SYNGTS_2447 449447.MAE_18640
NOG04601:	449447.MAE_55530 1148.SYNGTS_2813
NOG04602:	449447.MAE_29110 1148.SYNGTS_2989
NOG04603:	1148.SYNGTS_1882 449447.MAE_61840
NOG04604:	1148.SYNGTS_0916 449447.MAE_14780
NOG04605:	449447.MAE_52860 1148.SYNGTS_2338
NOG04606:	1148.SYNGTS_3020 449447.MAE_21230
NOG04607:	1148.SYNGTS_2943 449447.MAE_14380
NOG04608:	449447.MAE_27160 1148.SYNGTS_2649
NOG04609:	449447.MAE_58750 1148.SYNGTS_1282
NOG04610:	449447.MAE_13130 1148.SYNGTS_1881
NOG04611:	1148.SYNGTS_0667 449447.MAE_37530
NOG04612:	449447.MAE_41270 1148.SYNGTS_2059
NOG04613:	449447.MAE_25030 1148.SYNGTS_2929
NOG04614:	449447.MAE_11470 1148.SYNGTS_0157
NOG04615:	1148.SYNGTS_3134 449447.MAE_49470
NOG04616:	1148.SYNGTS_0456 449447.MAE_08110
NOG04617:	449447.MAE_20320 1148.SYNGTS_3159
NOG04618:	449447.MAE_01750 1148.SYNGTS_2741
NOG04619:	449447.MAE_10300 1148.SYNGTS_1960
NOG04620:	449447.MAE_56870 1148.SYNGTS_0299
NOG04621:	1148.SYNGTS_2456 449447.MAE_09350
NOG04622:	449447.MAE_41410 1148.SYNGTS_0649
NOG04623:	1148.SYNGTS_2583 449447.MAE_23060
NOG04624:	449447.MAE_56450 1148.SYNGTS_2922
NOG04625:	449447.MAE_35390 1148.SYNGTS_2297
NOG04626:	449447.MAE_56360 1148.SYNGTS_1206
NOG04627:	1148.SYNGTS_0488 449447.MAE_41860
NOG04628:	1148.SYNGTS_1156 449447.MAE_19750
NOG04629:	449447.MAE_27450 1148.SYNGTS_1313
NOG04630:	1148.SYNGTS_2003 449447.MAE_40060
NOG04631:	449447.MAE_11190 1148.SYNGTS_1867
NOG04632:	1148.SYNGTS_2667 449447.MAE_33430
NOG04633:	449447.MAE_48220 1148.SYNGTS_0390
NOG04634:	449447.MAE_05630 1148.SYNGTS_2154
NOG04635:	449447.MAE_11110 1148.SYNGTS_1691
NOG04636:	1148.SYNGTS_3079 449447.MAE_59440
NOG04637:	1148.SYNGTS_0166 449447.MAE_32050
NOG04638:	1148.SYNGTS_1224 449447.MAE_41160 449447.MAE_17980 1148.SYNGTS_2888
NOG04639:	1148.SYNGTS_2568 449447.MAE_32310
NOG04640:	1148.SYNGTS_0219 449447.MAE_30620
NOG04641:	449447.MAE_00170 1148.SYNGTS_1004
NOG04642:	1148.SYNGTS_2435 449447.MAE_06180
NOG04643:	1148.SYNGTS_1421 449447.MAE_33910
NOG04644:	1148.SYNGTS_0984 449447.MAE_08090
NOG04645:	1148.SYNGTS_0307 449447.MAE_02010
NOG04646:	1148.SYNGTS_1425 449447.MAE_40610
NOG04647:	1148.SYNGTS_2595 449447.MAE_19530
NOG04648:	449447.MAE_36900 1148.SYNGTS_1723
NOG04649:	449447.MAE_54850 1148.SYNGTS_1336
NOG04650:	1148.SYNGTS_1394 449447.MAE_55280
NOG04651:	449447.MAE_04110 1148.SYNGTS_1994
NOG04652:	1148.SYNGTS_0841 449447.MAE_19100
NOG04653:	1148.SYNGTS_1129 449447.MAE_42680
NOG04654:	449447.MAE_48160 1148.SYNGTS_1931
NOG04655:	449447.MAE_18370 1148.SYNGTS_2377
NOG04656:	449447.MAE_50070 1148.SYNGTS_0411
NOG04657:	1148.SYNGTS_1860 449447.MAE_09770
NOG04658:	1148.SYNGTS_2534 449447.MAE_48830
NOG04659:	1148.SYNGTS_1687 449447.MAE_19490
NOG04660:	1148.SYNGTS_0970 449447.MAE_34000
NOG04661:	449447.MAE_13620 1148.SYNGTS_2096
NOG04662:	1148.SYNGTS_0159 449447.MAE_50160
NOG04663:	1148.SYNGTS_1237 449447.MAE_38350
NOG04664:	449447.MAE_59550 1148.SYNGTS_2217
NOG04665:	449447.MAE_06220 1148.SYNGTS_1916
NOG04666:	449447.MAE_18250 1148.SYNGTS_1039
NOG04667:	449447.MAE_28050 1148.SYNGTS_3116
NOG04668:	1148.SYNGTS_0285 449447.MAE_61870
NOG04669:	1148.SYNGTS_1806 449447.MAE_56570
NOG04670:	1148.SYNGTS_3170 449447.MAE_31460
NOG04671:	1148.SYNGTS_2861 449447.MAE_31290
NOG04672:	449447.MAE_04940 1148.SYNGTS_0404
NOG04673:	1148.SYNGTS_1993 449447.MAE_04100
NOG04674:	1148.SYNGTS_2085 449447.MAE_27170
NOG04675:	449447.MAE_48340 1148.SYNGTS_0543
NOG04676:	449447.MAE_00010 1148.SYNGTS_0001
NOG04677:	1148.SYNGTS_0085 449447.MAE_07860
NOG04678:	1148.SYNGTS_1053 449447.MAE_19230
NOG04679:	1148.SYNGTS_2956 449447.MAE_02880
NOG04680:	1148.SYNGTS_3064 449447.MAE_24420
NOG04681:	449447.MAE_43520 1148.SYNGTS_1759
NOG04682:	449447.MAE_13630 1148.SYNGTS_0728
NOG04683:	449447.MAE_25320 1148.SYNGTS_2865
NOG04684:	449447.MAE_07330 1148.SYNGTS_2023
NOG04685:	1148.SYNGTS_0179 449447.MAE_50450
NOG04686:	449447.MAE_39090 1148.SYNGTS_2244
NOG04687:	449447.MAE_54030 1148.SYNGTS_2110
NOG04688:	1148.SYNGTS_0971 449447.MAE_11160
NOG04689:	449447.MAE_06450 1148.SYNGTS_2944
NOG04690:	449447.MAE_41370 1148.SYNGTS_3036
NOG04691:	1148.SYNGTS_2481 449447.MAE_00070
NOG04692:	1148.SYNGTS_0995 449447.MAE_33870
NOG04693:	449447.MAE_14750 1148.SYNGTS_2388
NOG04694:	1148.SYNGTS_2317 449447.MAE_22020
NOG04695:	449447.MAE_16730 449447.MAE_16740 449447.MAE_16720 1148.SYNGTS_2812
NOG04696:	1148.SYNGTS_1017 449447.MAE_43590
NOG04697:	1148.SYNGTS_0527 449447.MAE_59890
NOG04698:	1148.SYNGTS_3080 449447.MAE_25010
NOG04699:	1148.SYNGTS_2166 449447.MAE_14660
NOG04700:	1148.SYNGTS_2580 449447.MAE_23090
NOG04701:	449447.MAE_49860 1148.SYNGTS_0193
NOG04702:	1148.SYNGTS_2349 449447.MAE_62490
NOG04703:	449447.MAE_58390 1148.SYNGTS_2145
NOG04704:	449447.MAE_25970 1148.SYNGTS_1556
NOG04705:	1148.SYNGTS_2840 449447.MAE_19990
NOG04706:	1148.SYNGTS_2852 449447.MAE_53520
NOG04707:	1148.SYNGTS_2298 449447.MAE_05230
NOG04708:	449447.MAE_09190 1148.SYNGTS_2399
NOG04709:	449447.MAE_08800 1148.SYNGTS_2766
NOG04710:	1148.SYNGTS_1736 449447.MAE_49530
NOG04711:	1148.SYNGTS_2931 449447.MAE_25060
NOG04712:	1148.SYNGTS_1375 449447.MAE_62450
NOG04713:	449447.MAE_14900 1148.SYNGTS_0201
NOG04714:	449447.MAE_10830 1148.SYNGTS_0325
NOG04715:	1148.SYNGTS_2579 449447.MAE_23100
NOG04716:	449447.MAE_15260 449447.MAE_20810 1148.SYNGTS_2427
NOG04717:	1148.SYNGTS_3169 449447.MAE_42540
NOG04718:	449447.MAE_24450 1148.SYNGTS_0657
NOG04719:	1148.SYNGTS_1223 449447.MAE_41150
NOG04720:	449447.MAE_44640 1148.SYNGTS_1096
NOG04721:	1148.SYNGTS_2964 449447.MAE_54570
NOG04722:	449447.MAE_52630 1148.SYNGTS_2646
NOG04723:	449447.MAE_12270 1148.SYNGTS_2344
NOG04724:	1148.SYNGTS_0055 449447.MAE_13450
NOG04725:	1148.SYNGTS_2874 449447.MAE_17780
NOG04726:	449447.MAE_12100 1148.SYNGTS_2138
NOG04727:	1148.SYNGTS_0759 449447.MAE_57270
NOG04728:	1148.SYNGTS_0513 449447.MAE_59660
NOG04729:	449447.MAE_53700 1148.SYNGTS_1398
NOG04730:	449447.MAE_43920 1148.SYNGTS_1304
NOG04731:	1148.SYNGTS_1157 449447.MAE_19740
NOG04732:	1148.SYNGTS_1010 449447.MAE_26850
NOG04733:	1148.SYNGTS_2942 449447.MAE_58870
NOG04734:	449447.MAE_31750 1148.SYNGTS_3056
NOG04735:	449447.MAE_01300 1148.SYNGTS_2698
NOG04736:	449447.MAE_32100 1148.SYNGTS_0107
NOG04737:	1148.SYNGTS_1261 449447.MAE_18310
NOG04738:	1148.SYNGTS_1432 449447.MAE_44180
NOG04739:	1148.SYNGTS_0709 449447.MAE_19870
NOG04740:	1148.SYNGTS_1727 449447.MAE_34620
NOG04741:	1148.SYNGTS_1895 449447.MAE_61610
NOG04742:	1148.SYNGTS_1150 449447.MAE_09030
NOG04743:	1148.SYNGTS_2950 449447.MAE_31520
NOG04744:	1148.SYNGTS_0761 449447.MAE_57290
NOG04745:	449447.MAE_56680 1148.SYNGTS_0266
NOG04746:	449447.MAE_61960 1148.SYNGTS_0962
NOG04747:	1148.SYNGTS_0554 449447.MAE_27990
NOG04748:	1148.SYNGTS_0006 449447.MAE_29900
NOG04749:	449447.MAE_31310 1148.SYNGTS_0999
NOG04750:	1148.SYNGTS_0939 449447.MAE_58730
NOG04751:	449447.MAE_26800 1148.SYNGTS_2131
NOG04752:	1148.SYNGTS_0311 449447.MAE_45970
NOG04753:	449447.MAE_54490 1148.SYNGTS_0792
NOG04754:	449447.MAE_04020 1148.SYNGTS_1669
NOG04755:	449447.MAE_15810 1148.SYNGTS_1390
NOG04756:	449447.MAE_50690 1148.SYNGTS_1302
NOG04757:	449447.MAE_09530 1148.SYNGTS_2330
NOG04758:	1148.SYNGTS_1734 449447.MAE_03930
NOG04759:	449447.MAE_30200 1148.SYNGTS_2902
NOG04760:	1148.SYNGTS_1353 449447.MAE_59820
NOG04761:	1148.SYNGTS_0863 449447.MAE_47560
NOG04762:	1148.SYNGTS_2995 449447.MAE_37780
NOG04763:	1148.SYNGTS_1655 449447.MAE_10380 1148.SYNGTS_0008 449447.MAE_10800 449447.MAE_58140 449447.MAE_10220 449447.MAE_10510
NOG04764:	449447.MAE_42770 1148.SYNGTS_1747
NOG04765:	1148.SYNGTS_2306 449447.MAE_53010
NOG04766:	1148.SYNGTS_0844 449447.MAE_36630
NOG04767:	1148.SYNGTS_2904 449447.MAE_62720
NOG04768:	449447.MAE_18840 1148.SYNGTS_0723
NOG04769:	1148.SYNGTS_1972 449447.MAE_25260
NOG04770:	1148.SYNGTS_2047 449447.MAE_13580
NOG04771:	449447.MAE_54550 1148.SYNGTS_1690
NOG04772:	1148.SYNGTS_2241 449447.MAE_48840
NOG04773:	449447.MAE_13440 1148.SYNGTS_2650
NOG04774:	1148.SYNGTS_2040 449447.MAE_32370
NOG04775:	1148.SYNGTS_2140 449447.MAE_07050
NOG04776:	449447.MAE_25690 1148.SYNGTS_0125
NOG04777:	449447.MAE_25180 1148.SYNGTS_1809
NOG04778:	449447.MAE_00250 1148.SYNGTS_2563
NOG04779:	1148.SYNGTS_2971 449447.MAE_48920
NOG04780:	449447.MAE_18770 1148.SYNGTS_0572
NOG04781:	1148.SYNGTS_2175 449447.MAE_46740
NOG04782:	449447.MAE_21700 1148.SYNGTS_1657
NOG04783:	449447.MAE_28510 1148.SYNGTS_2160
NOG04784:	449447.MAE_12570 1148.SYNGTS_1885
NOG04785:	1148.SYNGTS_2761 449447.MAE_17300
NOG04786:	449447.MAE_17080 1148.SYNGTS_1528
NOG04787:	449447.MAE_01820 1148.SYNGTS_0460
NOG04788:	1148.SYNGTS_0904 449447.MAE_57900
NOG04789:	1148.SYNGTS_1803 449447.MAE_56800
NOG04790:	449447.MAE_21870 1148.SYNGTS_1211
NOG04791:	449447.MAE_55370 1148.SYNGTS_2100
NOG04792:	1148.SYNGTS_0164 449447.MAE_50110
NOG04793:	1148.SYNGTS_1234 449447.MAE_41610
NOG04794:	449447.MAE_48710 1148.SYNGTS_1320
NOG04795:	1148.SYNGTS_0226 449447.MAE_53670
NOG04796:	1148.SYNGTS_2043 449447.MAE_59640
NOG04797:	449447.MAE_26270 1148.SYNGTS_1488
NOG04798:	1148.SYNGTS_2329 449447.MAE_04090
NOG04799:	449447.MAE_11460 1148.SYNGTS_0156
NOG04800:	449447.MAE_23350 1148.SYNGTS_1033
NOG04801:	1148.SYNGTS_2846 449447.MAE_27290
NOG04802:	1148.SYNGTS_1903 449447.MAE_44250
NOG04803:	1148.SYNGTS_2708 449447.MAE_10100
NOG04804:	1148.SYNGTS_2172 449447.MAE_35830
NOG04805:	1148.SYNGTS_1765 449447.MAE_25770
NOG04806:	1148.SYNGTS_2664 449447.MAE_05870
NOG04807:	1148.SYNGTS_0505 449447.MAE_22610
NOG04808:	1148.SYNGTS_1641 449447.MAE_18790
NOG04809:	449447.MAE_48230 1148.SYNGTS_1144
NOG04810:	1148.SYNGTS_1538 449447.MAE_51240
NOG04811:	1148.SYNGTS_2645 449447.MAE_52970
NOG04812:	449447.MAE_18110 1148.SYNGTS_2785
NOG04813:	1148.SYNGTS_2224 449447.MAE_32480
NOG04814:	1148.SYNGTS_2609 449447.MAE_59380
NOG04815:	449447.MAE_14350 1148.SYNGTS_0118
NOG04816:	449447.MAE_18880 1148.SYNGTS_0720
NOG04817:	1148.SYNGTS_1362 449447.MAE_21370
NOG04818:	449447.MAE_12960 1148.SYNGTS_0400
NOG04819:	1148.SYNGTS_0652 449447.MAE_13050
NOG04820:	1148.SYNGTS_1277 449447.MAE_51750
NOG04821:	1148.SYNGTS_1617 449447.MAE_52940
NOG04822:	1148.SYNGTS_0087 449447.MAE_04520
NOG04823:	1148.SYNGTS_1815 449447.MAE_35510
NOG04824:	449447.MAE_62320 1148.SYNGTS_3155
NOG04825:	449447.MAE_52810 1148.SYNGTS_0537
NOG04826:	449447.MAE_35680 1148.SYNGTS_0831
NOG04827:	1148.SYNGTS_0915 449447.MAE_14770
NOG04828:	1148.SYNGTS_1027 449447.MAE_58930
NOG04829:	1148.SYNGTS_2680 449447.MAE_12550
NOG04830:	449447.MAE_04140 1148.SYNGTS_0712
NOG04831:	1148.SYNGTS_1147 449447.MAE_39290
NOG04832:	449447.MAE_15970 1148.SYNGTS_2923
NOG04833:	1148.SYNGTS_0819 449447.MAE_43720
NOG04834:	449447.MAE_15120 1148.SYNGTS_0861
NOG04835:	1148.SYNGTS_3015 449447.MAE_56290
NOG04836:	449447.MAE_09380 1148.SYNGTS_1951
NOG04837:	1148.SYNGTS_1491 449447.MAE_39770
NOG04838:	1148.SYNGTS_1238 449447.MAE_31180
NOG04839:	449447.MAE_35050 1148.SYNGTS_1932
NOG04840:	1148.SYNGTS_1241 449447.MAE_23950
NOG04841:	449447.MAE_02130 1148.SYNGTS_3138
NOG04842:	449447.MAE_31300 1148.SYNGTS_2361
NOG04843:	449447.MAE_54920 1148.SYNGTS_2101
NOG04844:	449447.MAE_32990 1148.SYNGTS_2495
NOG04845:	1148.SYNGTS_1595 449447.MAE_23160
NOG04846:	449447.MAE_11770 1148.SYNGTS_1709
NOG04847:	449447.MAE_57430 1148.SYNGTS_0775
NOG04848:	1148.SYNGTS_3037 449447.MAE_60830
NOG04849:	1148.SYNGTS_1543 449447.MAE_60880
NOG04850:	1148.SYNGTS_2561 449447.MAE_09650
NOG04851:	449447.MAE_42940 1148.SYNGTS_1207
NOG04852:	1148.SYNGTS_2343 449447.MAE_32260
NOG04853:	449447.MAE_38820 1148.SYNGTS_1818
NOG04854:	449447.MAE_50170 1148.SYNGTS_0158
NOG04855:	449447.MAE_45860 1148.SYNGTS_0961
NOG04856:	449447.MAE_14510 1148.SYNGTS_0907
NOG04857:	1148.SYNGTS_1923 449447.MAE_52890
NOG04858:	1148.SYNGTS_1607 449447.MAE_22920
NOG04859:	1148.SYNGTS_1133 449447.MAE_19120
NOG04860:	449447.MAE_25170 1148.SYNGTS_1400
NOG04861:	449447.MAE_42380 1148.SYNGTS_0645
NOG04862:	1148.SYNGTS_0887 449447.MAE_39640
NOG04863:	1148.SYNGTS_2581 449447.MAE_23080
NOG04864:	1148.SYNGTS_0448 449447.MAE_58850
NOG04865:	1148.SYNGTS_0374 449447.MAE_49310
NOG04866:	449447.MAE_11090 1148.SYNGTS_2056
NOG04867:	1148.SYNGTS_1106 449447.MAE_11300
NOG04868:	449447.MAE_04710 1148.SYNGTS_0099
NOG04869:	1148.SYNGTS_0236 449447.MAE_43370
NOG04870:	449447.MAE_56250 1148.SYNGTS_0945
NOG04871:	1148.SYNGTS_2949 449447.MAE_31530
