##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:56
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/29547.epsilonproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/29547.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:50
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/29547.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:55
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	85962.HP1020 192222.Cj1607
NOG04522:	85962.HP0750 192222.Cj1275c
NOG04523:	192222.Cj0332c 85962.HP0198
NOG04524:	85962.HP0900 192222.Cj0623
NOG04525:	192222.Cj0840c 85962.HP1385
NOG04526:	192222.Cj1148 85962.HP1191
NOG04527:	85962.HP0117 192222.Cj1244
NOG04528:	85962.HP0083 192222.Cj1479c
NOG04529:	85962.HP1295 192222.Cj1593
NOG04530:	192222.Cj0256 85962.HP0022
NOG04531:	85962.HP1296 192222.Cj1592
NOG04532:	192222.Cj0255c 85962.HP1526
NOG04533:	192222.Cj1263 85962.HP0925
NOG04534:	192222.Cj1596 85962.HP1292
NOG04535:	85962.HP1441 192222.Cj1171c
NOG04536:	192222.Cj1689c 85962.HP1301
NOG04537:	85962.HP1158 192222.Cj1076
NOG04538:	192222.Cj0499 85962.HP0741
NOG04539:	85962.HP0755 192222.Cj0294
NOG04540:	192222.Cj1083c 85962.HP0602
NOG04541:	192222.Cj1708c 85962.HP1320
NOG04542:	85962.HP0194 192222.Cj1401c
NOG04543:	192222.Cj0095 85962.HP0297
NOG04544:	192222.Cj0763c 85962.HP1210
NOG04545:	192222.Cj0191c 85962.HP0793
NOG04546:	192222.Cj0073c 85962.HP0137
NOG04547:	192222.Cj0641 85962.HP1394
NOG04548:	192222.Cj0066c 85962.HP1038
NOG04549:	192222.Cj1285c 85962.HP0778
NOG04550:	192222.Cj0280 85962.HP0918
NOG04551:	192222.Cj0664c 85962.HP0514
NOG04552:	192222.Cj1636c 85962.HP0661
NOG04553:	85962.HP1282 192222.Cj0345
NOG04554:	85962.HP1054 192222.Cj0131
NOG04555:	192222.Cj1132c 85962.HP0688
NOG04556:	192222.Cj1195c 85962.HP0266
NOG04557:	192222.Cj0650 85962.HP1567
NOG04558:	85962.HP0126 192222.Cj0245
NOG04559:	192222.Cj0946 85962.HP0087
NOG04560:	192222.Cj0271 85962.HP0136
NOG04561:	192222.Cj1476c 85962.HP1110
NOG04562:	192222.Cj1264c 85962.HP0634
NOG04563:	85962.HP0164 192222.Cj1226c 192222.Cj1262
NOG04564:	85962.HP0473 192222.Cj0303c
NOG04565:	85962.HP1249 192222.Cj0405
NOG04566:	85962.HP1476 192222.Cj0768c
NOG04567:	85962.HP0215 192222.Cj1347c
NOG04568:	192222.Cj1230 85962.HP1025
NOG04569:	85962.HP1147 192222.Cj0714
NOG04570:	192222.Cj1702c 85962.HP1314
NOG04571:	192222.Cj1676 85962.HP1418
NOG04572:	192222.Cj0156c 85962.HP0374
NOG04573:	85962.HP1235 192222.Cj0430
NOG04574:	85962.HP0599 192222.Cj0448c
NOG04575:	85962.HP0074 192222.Cj0361
NOG04576:	192222.Cj0588 85962.HP1086
NOG04577:	85962.HP1497 192222.Cj0312
NOG04578:	192222.Cj0099 85962.HP1140
NOG04579:	85962.HP0813 192222.Cj0809c
NOG04580:	85962.HP0633 192222.Cj1265c
NOG04581:	192222.Cj1703c 85962.HP1315
NOG04582:	192222.Cj0516 85962.HP1348
NOG04583:	192222.Cj0486 85962.HP1174
NOG04584:	85962.HP0391 192222.Cj0283c
NOG04585:	192222.Cj0687c 85962.HP0325
NOG04586:	192222.Cj0273 85962.HP1376
NOG04587:	192222.Cj0964 85962.HP0781
NOG04588:	85962.HP1474 192222.Cj0766c
NOG04589:	85962.HP1280 192222.Cj0346
NOG04590:	85962.HP0381 192222.Cj0722c
NOG04591:	192222.Cj0282c 85962.HP0652
NOG04592:	85962.HP1068 192222.Cj1117c
NOG04593:	85962.HP1339 192222.Cj1628
NOG04594:	85962.HP0395 192222.Cj0719c
NOG04595:	192222.Cj0153c 85962.HP0553
NOG04596:	85962.HP0958 192222.Cj0706
NOG04597:	85962.HP0862 192222.Cj0394c
NOG04598:	85962.HP0824 192222.Cj0147c
NOG04599:	192222.Cj0826 85962.HP0362
NOG04600:	85962.HP1415 192222.Cj0166
NOG04601:	192222.Cj0371 85962.HP0232
NOG04602:	192222.Cj0109 85962.HP1130
NOG04603:	192222.Cj1105 85962.HP1444
NOG04604:	192222.Cj1495c 85962.HP1236
NOG04605:	85962.HP1392 192222.Cj1349c
NOG04606:	85962.HP0800 192222.Cj1518
NOG04607:	192222.Cj1693c 85962.HP1305
NOG04608:	85962.HP1200 192222.Cj0476
NOG04609:	192222.Cj1602 85962.HP0852
NOG04610:	192222.Cj1056c 85962.HP1481
NOG04611:	192222.Cj1711c 85962.HP1431
NOG04612:	85962.HP0406 192222.Cj0703
NOG04613:	192222.Cj0186c 85962.HP1343
NOG04614:	85962.HP0753 192222.Cj0549
NOG04615:	192222.Cj0452 85962.HP1387
NOG04616:	85962.HP0749 192222.Cj1276c
NOG04617:	85962.HP0959 192222.Cj0705
NOG04618:	85962.HP1484 192222.Cj0362
NOG04619:	192222.Cj0477 85962.HP1199
NOG04620:	85962.HP0347 192222.Cj0022c
NOG04621:	192222.Cj0832c 85962.HP0946
NOG04622:	192222.Cj1363 85962.HP0567
NOG04623:	192222.Cj0498 85962.HP1279
NOG04624:	192222.Cj1211 85962.HP1361
NOG04625:	85962.HP1504 192222.Cj0495
NOG04626:	85962.HP0831 192222.Cj1530
NOG04627:	192222.Cj0385c 85962.HP1234
NOG04628:	192222.Cj1067 85962.HP1016
NOG04629:	192222.Cj0515 85962.HP1349
NOG04630:	85962.HP0808 192222.Cj1409
NOG04631:	192222.Cj0925 85962.HP0574
NOG04632:	192222.Cj0357c 85962.HP1509
NOG04633:	192222.Cj0349 85962.HP1277
NOG04634:	85962.HP1281 192222.Cj0861c
NOG04635:	192222.Cj0115 85962.HP1123
NOG04636:	192222.Cj0712 85962.HP1149
NOG04637:	192222.Cj0647 85962.HP1570
NOG04638:	192222.Cj1461 85962.HP0810
NOG04639:	85962.HP0034 192222.Cj0296c
NOG04640:	85962.HP1559 192222.Cj0528c
NOG04641:	85962.HP0889 192222.Cj1615
NOG04642:	85962.HP0586 192222.Cj0530
NOG04643:	192222.Cj0507 85962.HP1240
NOG04644:	85962.HP1473 192222.Cj1028c
NOG04645:	85962.HP0404 192222.Cj0898
NOG04646:	192222.Cj0429c 85962.HP1485
NOG04647:	85962.HP0944 192222.Cj1388
NOG04648:	192222.Cj1311 85962.HP0326
NOG04649:	192222.Cj1198 85962.HP0105
NOG04650:	192222.Cj0457c 85962.HP0270
NOG04651:	192222.Cj1134 85962.HP0280
NOG04652:	192222.Cj0420 85962.HP1286
NOG04653:	192222.Cj0400 85962.HP1027
NOG04654:	192222.Cj0447 85962.HP0507
NOG04655:	85962.HP0103 192222.Cj0019c
NOG04656:	192222.Cj1050c 85962.HP1259
NOG04657:	85962.HP1364 192222.Cj1222c
NOG04658:	85962.HP1310 192222.Cj1698c
NOG04659:	192222.Cj1291c 85962.HP0371
NOG04660:	192222.Cj0094 85962.HP0296
NOG04661:	85962.HP0716 192222.Cj0668
NOG04662:	85962.HP1414 192222.Cj1405
NOG04663:	192222.Cj1094c 85962.HP1551
NOG04664:	192222.Cj1241 85962.HP1185
NOG04665:	192222.Cj1210 85962.HP1162
NOG04666:	85962.HP1274 192222.Cj1565c
NOG04667:	192222.Cj1705c 85962.HP1317
NOG04668:	192222.Cj1579c 85962.HP1260
NOG04669:	192222.Cj0496 85962.HP0274
NOG04670:	85962.HP1298 192222.Cj1590
NOG04671:	85962.HP0752 192222.Cj0548
NOG04672:	85962.HP0243 192222.Cj1534c
NOG04673:	85962.HP0045 192222.Cj1428c
NOG04674:	85962.HP0584 192222.Cj0351
NOG04675:	85962.HP0812 192222.Cj1236
NOG04676:	85962.HP0888 192222.Cj0142c
NOG04677:	85962.HP1208 192222.Cj0208
NOG04678:	85962.HP0606 192222.Cj1032
NOG04679:	192222.Cj1220 85962.HP0011
NOG04680:	192222.Cj0998c 85962.HP0305
NOG04681:	85962.HP0860 192222.Cj1152c
NOG04682:	85962.HP1021 192222.Cj1608
NOG04683:	85962.HP0390 192222.Cj0779
NOG04684:	192222.Cj1629 85962.HP1340
NOG04685:	85962.HP1378 192222.Cj1074c
NOG04686:	192222.Cj0884 85962.HP1040
NOG04687:	85962.HP1244 192222.Cj1072
NOG04688:	192222.Cj0370 85962.HP0562
NOG04689:	192222.Cj1081c 85962.HP0843
NOG04690:	85962.HP1577 192222.Cj0773c
NOG04691:	85962.HP1161 192222.Cj1382c
NOG04692:	85962.HP1160 192222.Cj0121
NOG04693:	192222.Cj0535 85962.HP0588
NOG04694:	192222.Cj1370 85962.HP0735
NOG04695:	85962.HP0809 192222.Cj1408
NOG04696:	192222.Cj1570c 85962.HP1269
NOG04697:	192222.Cj1404 85962.HP1337
NOG04698:	85962.HP0224 192222.Cj0637c
NOG04699:	192222.Cj1610 85962.HP0737
NOG04700:	85962.HP1303 192222.Cj1691c
NOG04701:	85962.HP0573 192222.Cj0926
NOG04702:	192222.Cj1070 85962.HP1246
NOG04703:	192222.Cj1694c 85962.HP1306
NOG04704:	85962.HP1443 192222.Cj1104
NOG04705:	192222.Cj1219c 85962.HP0358
NOG04706:	85962.HP0076 192222.Cj1611
NOG04707:	192222.Cj0110 85962.HP1129
NOG04708:	85962.HP0933 192222.Cj0159c
NOG04709:	192222.Cj0936 85962.HP1212
NOG04710:	85962.HP1530 192222.Cj1712
NOG04711:	85962.HP1323 192222.Cj0010c
NOG04712:	192222.Cj0765c 85962.HP1190
NOG04713:	192222.Cj0758 85962.HP0110
NOG04714:	192222.Cj0497 85962.HP0275
NOG04715:	85962.HP0639 192222.Cj0016
NOG04716:	85962.HP0883 192222.Cj0799c
NOG04717:	85962.HP0863 192222.Cj0396c
NOG04718:	192222.Cj1026c 85962.HP0837
NOG04719:	192222.Cj0560 85962.HP1184
NOG04720:	192222.Cj0387 85962.HP0157
NOG04721:	85962.HP0568 192222.Cj1618c
NOG04722:	85962.HP0175 192222.Cj0596
NOG04723:	85962.HP1245 192222.Cj1071
NOG04724:	85962.HP1151 192222.Cj0710
NOG04725:	85962.HP0939 192222.Cj0920c 192222.Cj0919c
NOG04726:	85962.HP0018 192222.Cj0089
NOG04727:	85962.HP1557 192222.Cj0526c
NOG04728:	85962.HP0001 192222.Cj0382c
NOG04729:	85962.HP0676 192222.Cj0836
NOG04730:	192222.Cj0827 85962.HP0361
NOG04731:	85962.HP1491 192222.Cj1194
NOG04732:	85962.HP0298 192222.Cj1584c
NOG04733:	192222.Cj0320 85962.HP0353
NOG04734:	85962.HP1251 85962.HP0299 192222.Cj1583c
NOG04735:	85962.HP0307 192222.Cj0852c
NOG04736:	85962.HP0869 192222.Cj0627
NOG04737:	192222.Cj1090c 85962.HP1546
NOG04738:	85962.HP1297 192222.Cj1591
NOG04739:	192222.Cj1046c 85962.HP0814
NOG04740:	192222.Cj1650 85962.HP1076
NOG04741:	85962.HP1568 192222.Cj0649
NOG04742:	85962.HP0975 192222.Cj0398
NOG04743:	85962.HP1258 192222.Cj0232c
NOG04744:	192222.Cj0331c 85962.HP0199
NOG04745:	192222.Cj0008 85962.HP0937
NOG04746:	192222.Cj1637c 85962.HP0660
NOG04747:	85962.HP1447 192222.Cj0961c
NOG04748:	192222.Cj0044c 85962.HP0884 192222.Cj0800c
NOG04749:	192222.Cj0830 85962.HP1502
NOG04750:	192222.Cj1493c 85962.HP0861
NOG04751:	192222.Cj1496c 85962.HP0257
NOG04752:	192222.Cj0244 85962.HP0125
NOG04753:	85962.HP1419 192222.Cj1675
NOG04754:	85962.HP0686 192222.Cj0755 85962.HP1400 85962.HP0807
NOG04755:	192222.Cj0133 85962.HP1051
NOG04756:	192222.Cj0126c 85962.HP0949
NOG04757:	85962.HP1468 192222.Cj0269c
NOG04758:	85962.HP0508 192222.Cj1214c
NOG04759:	85962.HP1036 192222.Cj0065c
NOG04760:	85962.HP0642 192222.Cj1066
NOG04761:	192222.Cj0837c 85962.HP0418
NOG04762:	192222.Cj1351 85962.HP0499
NOG04763:	192222.Cj1535c 85962.HP1166
NOG04764:	192222.Cj1533c 85962.HP1321
NOG04765:	85962.HP1311 192222.Cj1699c
NOG04766:	192222.Cj0817 85962.HP0940 192222.Cj0734c
NOG04767:	192222.Cj0621 85962.HP0635
NOG04768:	192222.Cj1569c 85962.HP1270
NOG04769:	85962.HP1542 192222.Cj1086c
NOG04770:	85962.HP0035 192222.Cj1642
NOG04771:	192222.Cj1107 85962.HP0032
NOG04772:	192222.Cj0042 85962.HP0907
NOG04773:	85962.HP0320 192222.Cj1176c
NOG04774:	85962.HP1464 192222.Cj1648
NOG04775:	85962.HP0605 192222.Cj1031
NOG04776:	85962.HP0251 192222.Cj1582c 85962.HP0300
NOG04777:	192222.Cj1575c 85962.HP1264
NOG04778:	85962.HP1308 192222.Cj1696c
NOG04779:	192222.Cj1670c 85962.HP0156
NOG04780:	85962.HP0288 192222.Cj0721c
NOG04781:	85962.HP1098 85962.HP0235 85962.HP0211 192222.Cj0413 85962.HP0160
NOG04782:	192222.Cj0471 85962.HP1204
NOG04783:	85962.HP0664 192222.Cj0993c
NOG04784:	192222.Cj0667 85962.HP1423
NOG04785:	85962.HP0835 192222.Cj0913c
NOG04786:	85962.HP1063 192222.Cj0997
NOG04787:	85962.HP0236 192222.Cj0854c
NOG04788:	192222.Cj0630c 85962.HP1247
NOG04789:	192222.Cj1643 85962.HP0036
NOG04790:	192222.Cj0472 85962.HP1203a
NOG04791:	192222.Cj0761 85962.HP0902
NOG04792:	192222.Cj0277 85962.HP1372
NOG04793:	192222.Cj0757 85962.HP0111
NOG04794:	85962.HP0598 192222.Cj0306c
NOG04795:	85962.HP0176 192222.Cj0597
NOG04796:	192222.Cj0449c 85962.HP1242
NOG04797:	85962.HP1037 192222.Cj0653c
NOG04798:	85962.HP1124 192222.Cj0114
NOG04799:	85962.HP0952 192222.Cj1062
NOG04800:	192222.Cj1100 85962.HP0469
NOG04801:	85962.HP1407 192222.Cj1212c
NOG04802:	192222.Cj1223c 85962.HP1365
NOG04803:	192222.Cj1517 85962.HP0801
NOG04804:	192222.Cj1080c 85962.HP1224
NOG04805:	192222.Cj0041 85962.HP0906
NOG04806:	192222.Cj0155c 85962.HP0551
NOG04807:	85962.HP0761 192222.Cj1208
NOG04808:	192222.Cj0354c 85962.HP0277
NOG04809:	85962.HP0776 192222.Cj1273c
NOG04810:	192222.Cj1724c 85962.HP1413
NOG04811:	85962.HP0496 192222.Cj0965c
NOG04812:	192222.Cj1438c 85962.HP0102 192222.Cj1128c 192222.Cj1434c
NOG04813:	85962.HP1047 192222.Cj0137
NOG04814:	85962.HP1136 192222.Cj0103
NOG04815:	85962.HP1125 192222.Cj0113
NOG04816:	85962.HP0555 192222.Cj0151c
NOG04817:	85962.HP1230 192222.Cj0583
NOG04818:	85962.HP1131 192222.Cj0108
NOG04819:	192222.Cj0235c 85962.HP1255
NOG04820:	192222.Cj0440c 85962.HP1287
NOG04821:	192222.Cj0547 85962.HP0751
NOG04822:	192222.Cj0977 85962.HP0420
NOG04823:	192222.Cj0620 85962.HP0806
NOG04824:	85962.HP1046 192222.Cj0138
NOG04825:	192222.Cj1551c 85962.HP0462
NOG04826:	85962.HP0823 192222.Cj0148c
NOG04827:	192222.Cj0450c 85962.HP0491
NOG04828:	85962.HP0468 192222.Cj1459
NOG04829:	85962.HP0769 192222.Cj1350
NOG04830:	85962.HP1231 192222.Cj0584
NOG04831:	85962.HP1449 192222.Cj0959c
NOG04832:	192222.Cj0397c 85962.HP0864
NOG04833:	85962.HP0334 192222.Cj0635
NOG04834:	192222.Cj0905c 85962.HP0941
NOG04835:	192222.Cj0286c 85962.HP0394
NOG04836:	192222.Cj1313 85962.HP0327
NOG04837:	85962.HP1150 192222.Cj0711
NOG04838:	85962.HP1341 192222.Cj1630 192222.Cj0753c
NOG04839:	192222.Cj1255 85962.HP0924
NOG04840:	85962.HP1060 192222.Cj0579c
NOG04841:	85962.HP0659 192222.Cj1289
NOG04842:	85962.HP0027 192222.Cj1718c
NOG04843:	192222.Cj1463 85962.HP0245
NOG04844:	85962.HP0181 192222.Cj0399
NOG04845:	192222.Cj0091 85962.HP1457
NOG04846:	192222.Cj0441 85962.HP0962 85962.HP0559
NOG04847:	85962.HP0899 192222.Cj0624
NOG04848:	85962.HP1377 192222.Cj1075
NOG04849:	192222.Cj1356c 85962.HP0234
NOG04850:	85962.HP0200 192222.Cj0330c
NOG04851:	85962.HP1492 192222.Cj1639
