##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/418101.plasmodia.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/418101.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:54
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/418101.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	352914.XP_725878.1 5821.PBANKA_122380
NOG04954:	5821.PBANKA_120900 352914.XP_729948.1
NOG04955:	352914.XP_730507.1 5821.PBANKA_083370
NOG04956:	5821.PBANKA_031310 352914.XP_728977.1
NOG04957:	352914.XP_730494.1 5821.PBANKA_140510
NOG04958:	5821.PBANKA_103750 352914.XP_728208.1
NOG04959:	352914.XP_730742.1 5821.PBANKA_071760
NOG04960:	352914.XP_729353.1 5821.PBANKA_123910
NOG04961:	352914.XP_729204.1 5821.PBANKA_021040
NOG04962:	352914.XP_730142.1 5821.PBANKA_031340
NOG04963:	5821.PBANKA_031120 352914.XP_731104.1
NOG04964:	352914.XP_730709.1 5821.PBANKA_146250
NOG04965:	352914.XP_729272.1 5821.PBANKA_111610
NOG04966:	352914.XP_730294.1 5821.PBANKA_082380
NOG04967:	5821.PBANKA_102130 352914.XP_724801.1
NOG04968:	5821.PBANKA_112770 352914.XP_723710.1
NOG04969:	5821.PBANKA_090930 352914.XP_729927.1
NOG04970:	5821.PBANKA_132310 352914.XP_727836.1
NOG04971:	352914.XP_730571.1 5821.PBANKA_081930
NOG04972:	5821.PBANKA_050160 352914.XP_729841.1
NOG04973:	5821.PBANKA_071580 352914.XP_725204.1
NOG04974:	5821.PBANKA_041050 352914.XP_724816.1
NOG04975:	352914.XP_730086.1 5821.PBANKA_140330
NOG04976:	352914.XP_730811.1 5821.PBANKA_122420
NOG04977:	5821.PBANKA_082170 352914.XP_723782.1
NOG04978:	352914.XP_724458.1 5821.PBANKA_112870
NOG04979:	352914.XP_725383.1 5821.PBANKA_050860
NOG04980:	352914.XP_723743.1 5821.PBANKA_102400
NOG04981:	5821.PBANKA_083180 352914.XP_728488.1
NOG04982:	5821.PBANKA_101590 352914.XP_726291.1
NOG04983:	5821.PBANKA_134510 352914.XP_724437.1
NOG04984:	352914.XP_729493.1 5821.PBANKA_133310
NOG04985:	5821.PBANKA_111810 352914.XP_731383.1
NOG04986:	352914.XP_727554.1 352914.XP_730170.1 5821.PBANKA_000290 5821.PBANKA_110040 5821.PBANKA_140010 5821.PBANKA_114670
NOG04987:	352914.XP_725444.1 5821.PBANKA_050640
NOG04988:	352914.XP_727428.1 5821.PBANKA_101650
NOG04989:	5821.PBANKA_134400 352914.XP_728359.1
NOG04990:	5821.PBANKA_102490 352914.XP_729436.1
NOG04991:	352914.XP_725473.1 5821.PBANKA_111720
NOG04992:	352914.XP_729620.1 5821.PBANKA_124480
NOG04993:	5821.PBANKA_051410 352914.XP_724361.1
NOG04994:	352914.XP_726545.1 5821.PBANKA_090140
NOG04995:	352914.XP_728013.1 5821.PBANKA_141570
NOG04996:	352914.XP_730595.1 5821.PBANKA_070730
NOG04997:	352914.XP_729150.1 5821.PBANKA_010620
NOG04998:	352914.XP_725521.1 5821.PBANKA_011190
NOG04999:	352914.XP_724645.1 5821.PBANKA_133190
NOG05000:	352914.XP_723756.1 5821.PBANKA_070370
NOG05001:	352914.XP_725033.1 5821.PBANKA_144730
NOG05002:	5821.PBANKA_110850 352914.XP_724568.1
NOG05003:	5821.PBANKA_133920 352914.XP_727321.1
NOG05004:	5821.PBANKA_040960 352914.XP_729516.1
NOG05005:	352914.XP_730486.1 5821.PBANKA_130470
NOG05006:	5821.PBANKA_134430 352914.XP_728365.1
NOG05007:	352914.XP_729727.1 5821.PBANKA_141630
NOG05008:	352914.XP_728950.1 5821.PBANKA_060990
NOG05009:	5821.PBANKA_134590 352914.XP_730075.1
NOG05010:	5821.PBANKA_144220 352914.XP_726599.1
NOG05011:	5821.PBANKA_081090 352914.XP_723654.1
NOG05012:	5821.PBANKA_142560 352914.XP_726601.1
NOG05013:	352914.XP_727749.1 5821.PBANKA_103650
NOG05014:	352914.XP_731016.1 5821.PBANKA_090240
NOG05015:	352914.XP_729507.1 5821.PBANKA_041020
NOG05016:	5821.PBANKA_140980 352914.XP_730732.1
NOG05017:	5821.PBANKA_124560 352914.XP_730926.1
NOG05018:	5821.PBANKA_141740 352914.XP_731268.1
NOG05019:	352914.XP_727033.1 5821.PBANKA_122680
NOG05020:	5821.PBANKA_124270 352914.XP_729010.1
NOG05021:	5821.PBANKA_113970 352914.XP_727273.1
NOG05022:	352914.XP_729793.1 5821.PBANKA_080870
NOG05023:	352914.XP_724609.1 5821.PBANKA_051770
NOG05024:	5821.PBANKA_092510 352914.XP_726943.1
NOG05025:	5821.PBANKA_060150 352914.XP_729299.1
NOG05026:	5821.PBANKA_040200 352914.XP_727817.1
NOG05027:	352914.XP_730376.1 5821.PBANKA_050290
NOG05028:	352914.XP_725754.1 5821.PBANKA_091450
NOG05029:	5821.PBANKA_123820 352914.XP_723904.1
NOG05030:	5821.PBANKA_111670 352914.XP_724495.1
NOG05031:	352914.XP_729310.1 5821.PBANKA_140250
NOG05032:	352914.XP_730420.1 5821.PBANKA_120780
NOG05033:	352914.XP_727306.1 5821.PBANKA_143570
NOG05034:	5821.PBANKA_040560 352914.XP_727311.1
NOG05035:	5821.PBANKA_141330 352914.XP_724664.1
NOG05036:	5821.PBANKA_130760 352914.XP_729746.1
NOG05037:	352914.XP_729530.1 5821.PBANKA_061860
NOG05038:	352914.XP_724108.1 5821.PBANKA_130290
NOG05039:	5821.PBANKA_131640 352914.XP_725323.1
NOG05040:	5821.PBANKA_140760 352914.XP_727739.1
NOG05041:	352914.XP_730158.1 5821.PBANKA_041240
NOG05042:	352914.XP_724452.1 5821.PBANKA_060080
NOG05043:	352914.XP_723907.1 5821.PBANKA_094240
NOG05044:	352914.XP_730500.1 5821.PBANKA_090310
NOG05045:	5821.PBANKA_061960 352914.XP_730769.1
NOG05046:	352914.XP_730981.1 5821.PBANKA_092820
NOG05047:	5821.PBANKA_070660 352914.XP_729940.1
NOG05048:	5821.PBANKA_071600 352914.XP_725208.1
NOG05049:	5821.PBANKA_140850 352914.XP_731077.1
NOG05050:	352914.XP_724095.1 5821.PBANKA_052000
NOG05051:	5821.PBANKA_140070 352914.XP_730545.1
NOG05052:	5821.PBANKA_000010 352914.XP_728154.1 5821.PBANKA_021570 5821.PBANKA_000030 5821.PBANKA_114640 5821.PBANKA_124680 5821.PBANKA_072250 352914.XP_726123.1 5821.PBANKA_146580 5821.PBANKA_000090 5821.PBANKA_000190 5821.PBANKA_062360
NOG05053:	5821.PBANKA_133850 352914.XP_724921.1
NOG05054:	352914.XP_731218.1 5821.PBANKA_111440
NOG05055:	5821.PBANKA_123420 352914.XP_726815.1
NOG05056:	5821.PBANKA_083350 352914.XP_728168.1
NOG05057:	5821.PBANKA_135190 352914.XP_730639.1
NOG05058:	352914.XP_725195.1 5821.PBANKA_010240
NOG05059:	5821.PBANKA_094320 352914.XP_729779.1
NOG05060:	352914.XP_727592.1 5821.PBANKA_092790
NOG05061:	5821.PBANKA_061360 352914.XP_725769.1
NOG05062:	5821.PBANKA_060160 352914.XP_729296.1
NOG05063:	5821.PBANKA_110470 352914.XP_730062.1
NOG05064:	352914.XP_728294.1 5821.PBANKA_061390
NOG05065:	5821.PBANKA_120210 352914.XP_724621.1
NOG05066:	352914.XP_729549.1 5821.PBANKA_093720
NOG05067:	352914.XP_730082.1 5821.PBANKA_112160
NOG05068:	352914.XP_726380.1 5821.PBANKA_144050
NOG05069:	5821.PBANKA_140620 352914.XP_730436.1
NOG05070:	5821.PBANKA_100360 352914.XP_728113.1
NOG05071:	5821.PBANKA_130990 352914.XP_729735.1
NOG05072:	5821.PBANKA_135700 352914.XP_726098.1
NOG05073:	5821.PBANKA_114480 352914.XP_724516.1
NOG05074:	352914.XP_723670.1 5821.PBANKA_144920
NOG05075:	5821.PBANKA_144480 352914.XP_727853.1
NOG05076:	5821.PBANKA_110880 352914.XP_731249.1
NOG05077:	5821.PBANKA_060890 352914.XP_731029.1
NOG05078:	5821.PBANKA_062380 352914.XP_731444.1 352914.XP_723611.1 5821.PBANKA_000580
NOG05079:	352914.XP_727613.1 5821.PBANKA_030200
NOG05080:	352914.XP_731307.1 5821.PBANKA_123140
NOG05081:	352914.XP_730055.1 5821.PBANKA_140360
NOG05082:	5821.PBANKA_082040 352914.XP_725775.1
NOG05083:	5821.PBANKA_113690 352914.XP_730641.1
NOG05084:	5821.PBANKA_040140 352914.XP_724193.1
NOG05085:	5821.PBANKA_050670 352914.XP_729452.1
NOG05086:	352914.XP_726431.1 5821.PBANKA_110570
NOG05087:	352914.XP_729639.1 5821.PBANKA_083430
NOG05088:	352914.XP_727032.1 5821.PBANKA_122670
NOG05089:	352914.XP_726615.1 5821.PBANKA_123680
NOG05090:	352914.XP_729453.1 5821.PBANKA_050680
NOG05091:	5821.PBANKA_144800 352914.XP_725313.1
NOG05092:	5821.PBANKA_133640 352914.XP_723878.1
NOG05093:	5821.PBANKA_130440 352914.XP_723683.1
NOG05094:	352914.XP_728536.1 5821.PBANKA_122340
NOG05095:	352914.XP_726266.1 5821.PBANKA_080790
NOG05096:	5821.PBANKA_093000 352914.XP_725648.1
NOG05097:	5821.PBANKA_020280 352914.XP_728162.1
NOG05098:	5821.PBANKA_130920 352914.XP_727625.1
NOG05099:	352914.XP_727106.1 5821.PBANKA_052330
NOG05100:	352914.XP_724138.1 5821.PBANKA_082920
NOG05101:	352914.XP_727476.1 5821.PBANKA_020450
NOG05102:	5821.PBANKA_121510 352914.XP_723702.1
NOG05103:	5821.PBANKA_140530 352914.XP_726091.1
NOG05104:	352914.XP_729325.1 5821.PBANKA_103000
NOG05105:	352914.XP_731163.1 5821.PBANKA_111210
NOG05106:	352914.XP_729682.1 5821.PBANKA_143460
NOG05107:	5821.PBANKA_132660 352914.XP_731277.1
NOG05108:	5821.PBANKA_093010 352914.XP_725647.1
NOG05109:	352914.XP_726200.1 5821.PBANKA_132120
NOG05110:	5821.PBANKA_132750 352914.XP_724792.1
NOG05111:	352914.XP_729775.1 5821.PBANKA_040610
NOG05112:	352914.XP_727961.1 5821.PBANKA_101700
NOG05113:	5821.PBANKA_092070 352914.XP_723715.1
NOG05114:	5821.PBANKA_122650 352914.XP_727029.1
NOG05115:	5821.PBANKA_071220 352914.XP_727204.1
NOG05116:	352914.XP_731412.1 5821.PBANKA_141540
NOG05117:	5821.PBANKA_122000 352914.XP_729855.1
NOG05118:	5821.PBANKA_143290 352914.XP_725819.1
NOG05119:	5821.PBANKA_114440 352914.XP_726208.1
NOG05120:	5821.PBANKA_082610 352914.XP_727786.1
NOG05121:	5821.PBANKA_020870 352914.XP_728969.1
NOG05122:	352914.XP_730059.1 5821.PBANKA_123480
NOG05123:	5821.PBANKA_030360 352914.XP_728842.1
NOG05124:	5821.PBANKA_051140 352914.XP_724040.1
NOG05125:	352914.XP_730020.1 5821.PBANKA_093180
NOG05126:	352914.XP_730467.1 5821.PBANKA_134690
NOG05127:	5821.PBANKA_100450 352914.XP_730974.1
NOG05128:	5821.PBANKA_142990 352914.XP_729869.1
NOG05129:	5821.PBANKA_050580 352914.XP_730122.1
NOG05130:	5821.PBANKA_093670 352914.XP_729544.1
NOG05131:	5821.PBANKA_061720 352914.XP_730343.1
NOG05132:	5821.PBANKA_101880 352914.XP_727316.1
NOG05133:	352914.XP_729048.1 5821.PBANKA_134200
NOG05134:	5821.PBANKA_124090 352914.XP_724081.1
NOG05135:	352914.XP_726358.1 5821.PBANKA_041330
NOG05136:	5821.PBANKA_070580 352914.XP_731090.1
NOG05137:	5821.PBANKA_142240 352914.XP_724742.1
NOG05138:	5821.PBANKA_121140 352914.XP_729098.1
NOG05139:	5821.PBANKA_040330 352914.XP_724120.1
NOG05140:	5821.PBANKA_121350 352914.XP_728323.1
NOG05141:	352914.XP_725990.1 5821.PBANKA_132320
NOG05142:	5821.PBANKA_111650 352914.XP_725663.1
NOG05143:	5821.PBANKA_070490 352914.XP_729716.1
NOG05144:	352914.XP_728454.1 5821.PBANKA_112540
NOG05145:	352914.XP_728809.1 5821.PBANKA_020810
NOG05146:	352914.XP_723692.1 5821.PBANKA_090710
NOG05147:	352914.XP_726953.1 5821.PBANKA_131760
NOG05148:	5821.PBANKA_112230 352914.XP_725265.1
NOG05149:	352914.XP_724574.1 5821.PBANKA_060100
NOG05150:	352914.XP_726912.1 5821.PBANKA_052150
NOG05151:	5821.PBANKA_135210 352914.XP_727912.1
NOG05152:	352914.XP_723998.1 5821.PBANKA_031480
NOG05153:	5821.PBANKA_110290 352914.XP_727342.1
NOG05154:	352914.XP_731139.1 5821.PBANKA_050520
NOG05155:	5821.PBANKA_031540 352914.XP_725083.1
NOG05156:	352914.XP_726074.1 5821.PBANKA_020230
NOG05157:	352914.XP_724640.1 5821.PBANKA_091370
NOG05158:	5821.PBANKA_134330 352914.XP_725335.1
NOG05159:	352914.XP_726980.1 5821.PBANKA_091510
NOG05160:	352914.XP_728432.1 5821.PBANKA_133750
NOG05161:	352914.XP_725263.1 5821.PBANKA_113150
NOG05162:	5821.PBANKA_061880 352914.XP_725058.1
NOG05163:	5821.PBANKA_144520 352914.XP_723975.1
NOG05164:	5821.PBANKA_145110 352914.XP_726713.1
NOG05165:	5821.PBANKA_112240 352914.XP_725266.1
NOG05166:	5821.PBANKA_140490 352914.XP_730492.1
NOG05167:	352914.XP_725039.1 5821.PBANKA_144790
NOG05168:	5821.PBANKA_101320 352914.XP_730040.1
NOG05169:	5821.PBANKA_020360 352914.XP_724169.1
NOG05170:	352914.XP_731396.1 5821.PBANKA_101140
NOG05171:	352914.XP_725205.1 5821.PBANKA_071590
NOG05172:	5821.PBANKA_100310 352914.XP_729464.1
NOG05173:	5821.PBANKA_140370 352914.XP_730056.1
NOG05174:	5821.PBANKA_123980 352914.XP_727062.1
NOG05175:	5821.PBANKA_122820 352914.XP_723891.1
NOG05176:	352914.XP_723974.1 5821.PBANKA_144510
NOG05177:	5821.PBANKA_081230 352914.XP_731317.1
NOG05178:	5821.PBANKA_121530 352914.XP_723700.1
NOG05179:	5821.PBANKA_101760 352914.XP_731329.1
NOG05180:	352914.XP_730864.1 5821.PBANKA_030500
NOG05181:	5821.PBANKA_052410 352914.XP_724086.1
NOG05182:	5821.PBANKA_132020 352914.XP_730250.1
NOG05183:	352914.XP_725370.1 5821.PBANKA_071430
NOG05184:	352914.XP_726294.1 5821.PBANKA_101560
NOG05185:	5821.PBANKA_080200 352914.XP_729787.1
NOG05186:	352914.XP_729750.1 5821.PBANKA_130710
NOG05187:	352914.XP_726756.1 5821.PBANKA_081420
NOG05188:	5821.PBANKA_102050 352914.XP_729652.1
NOG05189:	5821.PBANKA_121110 352914.XP_723632.1
NOG05190:	352914.XP_730208.1 5821.PBANKA_141070
NOG05191:	5821.PBANKA_041110 352914.XP_723849.1
NOG05192:	5821.PBANKA_146200 352914.XP_730848.1
NOG05193:	5821.PBANKA_061020 352914.XP_724997.1
NOG05194:	5821.PBANKA_144670 352914.XP_725093.1
NOG05195:	352914.XP_729875.1 5821.PBANKA_134090
NOG05196:	352914.XP_728414.1 5821.PBANKA_120310
NOG05197:	5821.PBANKA_143910 352914.XP_725869.1
NOG05198:	352914.XP_728888.1 5821.PBANKA_091740
NOG05199:	5821.PBANKA_083050 352914.XP_725728.1
NOG05200:	352914.XP_725945.1 5821.PBANKA_093500
NOG05201:	5821.PBANKA_080640 352914.XP_726702.1
NOG05202:	5821.PBANKA_091070 352914.XP_727072.1
NOG05203:	5821.PBANKA_121150 352914.XP_729097.1
NOG05204:	5821.PBANKA_021420 352914.XP_730962.1
NOG05205:	352914.XP_727619.1 5821.PBANKA_030260
NOG05206:	5821.PBANKA_060880 352914.XP_727784.1
NOG05207:	352914.XP_727064.1 5821.PBANKA_134800
NOG05208:	5821.PBANKA_145640 352914.XP_723735.1
NOG05209:	352914.XP_729237.1 5821.PBANKA_112100
NOG05210:	5821.PBANKA_131170 352914.XP_726637.1
NOG05211:	5821.PBANKA_140690 352914.XP_731129.1
NOG05212:	5821.PBANKA_091610 352914.XP_728005.1
NOG05213:	352914.XP_730084.1 5821.PBANKA_091920
NOG05214:	352914.XP_726385.1 5821.PBANKA_093900
NOG05215:	5821.PBANKA_133000 352914.XP_726862.1
NOG05216:	352914.XP_727921.1 5821.PBANKA_113610
NOG05217:	5821.PBANKA_041570 352914.XP_724883.1
NOG05218:	352914.XP_730508.1 5821.PBANKA_122830
NOG05219:	5821.PBANKA_103610 352914.XP_724365.1
NOG05220:	352914.XP_729863.1 5821.PBANKA_142930
NOG05221:	5821.PBANKA_060090 352914.XP_724453.1
NOG05222:	5821.PBANKA_010490 352914.XP_731133.1
NOG05223:	352914.XP_728506.1 5821.PBANKA_103500
NOG05224:	5821.PBANKA_040600 352914.XP_725960.1
NOG05225:	5821.PBANKA_091130 352914.XP_728941.1
NOG05226:	5821.PBANKA_111620 352914.XP_729273.1
NOG05227:	352914.XP_731152.1 5821.PBANKA_145070
NOG05228:	352914.XP_725589.1 5821.PBANKA_071320
NOG05229:	5821.PBANKA_051990 352914.XP_728258.1
NOG05230:	5821.PBANKA_123260 352914.XP_729403.1
NOG05231:	352914.XP_725253.1 5821.PBANKA_110450
NOG05232:	5821.PBANKA_071110 352914.XP_731038.1
NOG05233:	352914.XP_730549.1 5821.PBANKA_050210
NOG05234:	352914.XP_725978.1 5821.PBANKA_051240
NOG05235:	352914.XP_725785.1 5821.PBANKA_113820
NOG05236:	352914.XP_729614.1 5821.PBANKA_143240
NOG05237:	352914.XP_727606.1 5821.PBANKA_020740
NOG05238:	5821.PBANKA_141720 352914.XP_729580.1
NOG05239:	352914.XP_730827.1 5821.PBANKA_142170
NOG05240:	5821.PBANKA_080960 352914.XP_727331.1
NOG05241:	5821.PBANKA_110100 352914.XP_731190.1
NOG05242:	5821.PBANKA_121700 352914.XP_730593.1
NOG05243:	352914.XP_729542.1 5821.PBANKA_093650
NOG05244:	5821.PBANKA_102740 352914.XP_724754.1
NOG05245:	352914.XP_730188.1 5821.PBANKA_000370 352914.XP_730431.1 352914.XP_723790.1 5821.PBANKA_020090 352914.XP_729807.1
NOG05246:	5821.PBANKA_144540 352914.XP_729356.1
NOG05247:	352914.XP_727723.1 5821.PBANKA_050260
NOG05248:	5821.PBANKA_091580 352914.XP_726515.1
NOG05249:	5821.PBANKA_040460 352914.XP_725742.1
NOG05250:	352914.XP_727617.1 5821.PBANKA_030240
NOG05251:	352914.XP_730073.1 5821.PBANKA_071640
NOG05252:	5821.PBANKA_080690 352914.XP_731167.1
NOG05253:	5821.PBANKA_080900 352914.XP_724369.1
NOG05254:	352914.XP_725240.1 5821.PBANKA_061260
NOG05255:	5821.PBANKA_133990 352914.XP_724103.1
NOG05256:	352914.XP_724777.1 5821.PBANKA_112000
NOG05257:	5821.PBANKA_080300 352914.XP_731227.1
NOG05258:	352914.XP_730275.1 5821.PBANKA_011010
NOG05259:	352914.XP_731458.1 5821.PBANKA_143810
NOG05260:	5821.PBANKA_093130 352914.XP_725816.1
NOG05261:	5821.PBANKA_135760 352914.XP_726811.1
NOG05262:	5821.PBANKA_010150 352914.XP_729969.1
NOG05263:	5821.PBANKA_114150 352914.XP_730774.1
NOG05264:	352914.XP_727957.1 5821.PBANKA_121420
NOG05265:	352914.XP_729873.1 5821.PBANKA_134060
NOG05266:	352914.XP_725557.1 5821.PBANKA_061450
NOG05267:	5821.PBANKA_080950 352914.XP_730161.1
NOG05268:	352914.XP_725412.1 5821.PBANKA_101210
NOG05269:	352914.XP_723759.1 5821.PBANKA_145220
NOG05270:	5821.PBANKA_130280 352914.XP_724109.1
NOG05271:	352914.XP_730278.1 5821.PBANKA_020300
NOG05272:	5821.PBANKA_113920 352914.XP_726327.1
NOG05273:	5821.PBANKA_142530 352914.XP_729599.1
NOG05274:	5821.PBANKA_061790 352914.XP_729197.1
NOG05275:	5821.PBANKA_130570 352914.XP_729025.1
NOG05276:	5821.PBANKA_010850 352914.XP_724683.1
NOG05277:	352914.XP_728766.1 5821.PBANKA_041810
NOG05278:	352914.XP_727983.1 5821.PBANKA_081810
NOG05279:	352914.XP_727363.1 5821.PBANKA_114280
NOG05280:	352914.XP_729251.1 5821.PBANKA_021290
NOG05281:	5821.PBANKA_103720 352914.XP_726067.1
NOG05282:	352914.XP_730168.1 5821.PBANKA_050800
NOG05283:	5821.PBANKA_041340 352914.XP_726503.1
NOG05284:	5821.PBANKA_091460 352914.XP_725756.1
NOG05285:	5821.PBANKA_112410 352914.XP_730201.1
NOG05286:	5821.PBANKA_102510 352914.XP_725907.1
NOG05287:	5821.PBANKA_110190 352914.XP_724658.1
NOG05288:	5821.PBANKA_052320 352914.XP_727105.1
NOG05289:	5821.PBANKA_081380 352914.XP_731447.1
NOG05290:	5821.PBANKA_145080 352914.XP_724937.1
NOG05291:	5821.PBANKA_112630 352914.XP_724963.1
NOG05292:	352914.XP_726516.1 5821.PBANKA_091590
NOG05293:	5821.PBANKA_120810 352914.XP_730416.1
NOG05294:	352914.XP_723817.1 5821.PBANKA_010760
NOG05295:	352914.XP_727655.1 5821.PBANKA_103430
NOG05296:	352914.XP_724142.1 5821.PBANKA_110150
NOG05297:	352914.XP_724530.1 5821.PBANKA_081140
NOG05298:	5821.PBANKA_080560 352914.XP_729158.1
NOG05299:	5821.PBANKA_145750 352914.XP_726580.1
NOG05300:	5821.PBANKA_132580 352914.XP_728092.1
NOG05301:	5821.PBANKA_123520 352914.XP_724796.1
NOG05302:	352914.XP_724692.1 5821.PBANKA_093090
NOG05303:	5821.PBANKA_114500 352914.XP_724851.1
NOG05304:	352914.XP_730586.1 5821.PBANKA_134250
NOG05305:	352914.XP_730637.1 5821.PBANKA_135170
NOG05306:	352914.XP_726100.1 5821.PBANKA_091760
NOG05307:	5821.PBANKA_101640 352914.XP_726269.1
NOG05308:	5821.PBANKA_071350 352914.XP_726238.1
NOG05309:	352914.XP_726284.1 5821.PBANKA_020720
NOG05310:	5821.PBANKA_113760 352914.XP_728648.1
NOG05311:	352914.XP_727226.1 5821.PBANKA_130350
NOG05312:	352914.XP_726656.1 5821.PBANKA_080680
NOG05313:	5821.PBANKA_090110 352914.XP_726542.1
NOG05314:	352914.XP_725087.1 5821.PBANKA_121270
NOG05315:	352914.XP_730447.1 5821.PBANKA_123770
NOG05316:	352914.XP_725953.1 5821.PBANKA_081130
NOG05317:	352914.XP_724243.1 5821.PBANKA_144280
NOG05318:	5821.PBANKA_110200 352914.XP_726329.1
NOG05319:	352914.XP_726416.1 5821.PBANKA_051180
NOG05320:	352914.XP_726665.1 5821.PBANKA_081860
NOG05321:	5821.PBANKA_113830 352914.XP_728097.1
NOG05322:	5821.PBNAKA_083685.1 352914.XP_725761.1 352914.XP_724217.1 352914.XP_730331.1 352914.XP_725678.1 352914.XP_724708.1
NOG05323:	352914.XP_727730.1 5821.PBANKA_092630
NOG05324:	5821.PBANKA_110220 352914.XP_727065.1
NOG05325:	352914.XP_729879.1 5821.PBANKA_112300
NOG05326:	5821.PBANKA_062060 352914.XP_729904.1
NOG05327:	5821.PBANKA_080630 352914.XP_728067.1
NOG05328:	5821.PBANKA_123340 352914.XP_729877.1
NOG05329:	5821.PBANKA_132110 352914.XP_724444.1
NOG05330:	5821.PBANKA_091530 352914.XP_728342.1
NOG05331:	5821.PBANKA_082310 352914.XP_726859.1
NOG05332:	5821.PBANKA_051640 352914.XP_730504.1
NOG05333:	5821.PBANKA_071810 352914.XP_730803.1
NOG05334:	352914.XP_728335.1 5821.PBANKA_145170
NOG05335:	352914.XP_728256.1 5821.PBANKA_123960
NOG05336:	5821.PBANKA_100980 352914.XP_730454.1
NOG05337:	352914.XP_731423.1 5821.PBANKA_081600
NOG05338:	5821.PBANKA_093250 352914.XP_726901.1
NOG05339:	5821.PBANKA_122450 352914.XP_725025.1
NOG05340:	352914.XP_729466.1 5821.PBANKA_011170
NOG05341:	352914.XP_730446.1 5821.PBANKA_123780
NOG05342:	5821.PBANKA_030720 352914.XP_724389.1
NOG05343:	352914.XP_728099.1 5821.PBANKA_113850
NOG05344:	5821.PBANKA_134670 352914.XP_728283.1
NOG05345:	352914.XP_723859.1 5821.PBANKA_103670
NOG05346:	352914.XP_726278.1 5821.PBANKA_080070
NOG05347:	5821.PBANKA_041730 352914.XP_728874.1
NOG05348:	5821.PBANKA_092400 352914.XP_725680.1
NOG05349:	352914.XP_728251.1 5821.PBANKA_101980
NOG05350:	352914.XP_727026.1 5821.PBANKA_122630
NOG05351:	352914.XP_724517.1 5821.PBANKA_114490
NOG05352:	352914.XP_731048.1 5821.PBANKA_114340
NOG05353:	5821.PBANKA_082070 352914.XP_725829.1
NOG05354:	5821.PBANKA_134140 352914.XP_729533.1
NOG05355:	5821.PBANKA_061990 352914.XP_730137.1
NOG05356:	5821.PBANKA_082820 352914.XP_725605.1
NOG05357:	5821.PBANKA_100430 352914.XP_730976.1
NOG05358:	352914.XP_729972.1 5821.PBANKA_135150
NOG05359:	352914.XP_729359.1 5821.PBANKA_135550
NOG05360:	352914.XP_730451.1 5821.PBANKA_135340
NOG05361:	352914.XP_727495.1 5821.PBANKA_132710
NOG05362:	352914.XP_725690.1 5821.PBANKA_144590
NOG05363:	352914.XP_726042.1 5821.PBANKA_135250
NOG05364:	5821.PBANKA_041490 352914.XP_725415.1
NOG05365:	352914.XP_725768.1 5821.PBANKA_061350
NOG05366:	352914.XP_726384.1 5821.PBANKA_145350
NOG05367:	5821.PBANKA_132730 352914.XP_727497.1
NOG05368:	5821.PBANKA_082520 352914.XP_725628.1
NOG05369:	352914.XP_729315.1 5821.PBANKA_121460
NOG05370:	352914.XP_728203.1 5821.PBANKA_114080
NOG05371:	5821.PBANKA_030740 352914.XP_724333.1
NOG05372:	352914.XP_727120.1 5821.PBANKA_142370
NOG05373:	5821.PBANKA_120110 352914.XP_724673.1
NOG05374:	5821.PBANKA_113810 352914.XP_727405.1
NOG05375:	352914.XP_724533.1 352914.XP_726505.1 5821.PBANKA_130040 352914.XP_726720.1 5821.PBANKA_070010 352914.XP_725537.1 352914.XP_724246.1
NOG05376:	352914.XP_728082.1 5821.PBANKA_122370
NOG05377:	5821.PBANKA_070130 352914.XP_727252.1
NOG05378:	352914.XP_726030.1 5821.PBANKA_122530
NOG05379:	5821.PBANKA_082470 352914.XP_730274.1
NOG05380:	352914.XP_730342.1 5821.PBANKA_061710
NOG05381:	352914.XP_724904.1 5821.PBANKA_040260
NOG05382:	5821.PBANKA_111520 352914.XP_729861.1
NOG05383:	352914.XP_725413.1 5821.PBANKA_101220
NOG05384:	352914.XP_725331.1 5821.PBANKA_140450
NOG05385:	5821.PBANKA_144090 352914.XP_729710.1
NOG05386:	352914.XP_728951.1 5821.PBANKA_091260
NOG05387:	5821.PBANKA_090050 352914.XP_726221.1 352914.XP_725295.1
NOG05388:	352914.XP_726890.1 5821.PBANKA_112210
NOG05389:	5821.PBANKA_141360 352914.XP_724946.1
NOG05390:	5821.PBANKA_072200 352914.XP_727545.1
