##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:55
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/186826.lactobacillales.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/186826.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:46
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/186826.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:54
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG04000:	272623.L0158 160490.SPy_1200
NOG04536:	160490.SPy_2217 272623.L0210
NOG04537:	272623.L22498 160490.SPy_1538
NOG04538:	160490.SPy_1733 272623.L109379 272623.L45616
NOG04539:	272623.L23405 272623.L24511 160490.SPy_2120
NOG04540:	272623.L120355 160490.SPy_1519
NOG04541:	272623.L0273 160490.SPy_1761
NOG04542:	160490.SPy_0102 272623.L0314
NOG04543:	272623.L155396 160490.SPy_1727
NOG04544:	272623.L36841 160490.SPy_1551
NOG04545:	272623.L188472 160490.SPy_1142
NOG04546:	272623.L157316 160490.SPy_0164
NOG04547:	272623.L0130 160490.SPy_0337
NOG04548:	160490.SPy_1766 272623.L174407
NOG04549:	160490.SPy_1931 272623.L0386
NOG04550:	160490.SPy_1353 272623.L1778
NOG04551:	160490.SPy_0371 272623.L161988
NOG04552:	272623.L88729 160490.SPy_1309
NOG04553:	160490.SPy_0057 272623.L0412
NOG04554:	160490.SPy_0190 272623.L69383 272623.L152305
NOG04555:	272623.L131245 160490.SPy_1648
NOG04556:	160490.SPy_1765 272623.L175147
NOG04557:	272623.L1002 160490.SPy_0013
NOG04558:	272623.L173313 160490.SPy_1737
NOG04559:	160490.SPy_0980 272623.L51420
NOG04560:	272623.L22496 160490.SPy_0012
NOG04561:	272623.L159386 160490.SPy_1245 272623.L158188
NOG04562:	272623.L32653 160490.SPy_0905
NOG04563:	160490.SPy_1395 272623.L168238
NOG04564:	272623.L135991 160490.SPy_0112
NOG04565:	160490.SPy_1031 272623.L0036
NOG04566:	160490.SPy_1658 272623.L163056
NOG04567:	272623.L0326 160490.SPy_0531
NOG04568:	272623.L160560 160490.SPy_0504
NOG04569:	160490.SPy_0599 272623.L115671
NOG04570:	160490.SPy_0930 272623.L84257
NOG04571:	272623.L182799 160490.SPy_1964
NOG04572:	272623.L32389 160490.SPy_1613
NOG04573:	272623.L0127 160490.SPy_1621
NOG04574:	160490.SPy_0460 272623.L0408
NOG04575:	160490.SPy_1830 272623.L0302
NOG04576:	160490.SPy_0309 272623.L26998
NOG04577:	160490.SPy_2196 272623.L29672
NOG04578:	160490.SPy_0908 272623.L5517
NOG04579:	160490.SPy_0850 272623.L00196
NOG04580:	160490.SPy_2136 272623.L37667
NOG04581:	160490.SPy_0271 272623.L0389
NOG04582:	160490.SPy_1012 272623.L198787
NOG04583:	272623.L65029 160490.SPy_1642
NOG04584:	160490.SPy_0472 272623.L68066
NOG04585:	160490.SPy_0847 272623.L6876
NOG04586:	160490.SPy_0712 272623.L159400 160490.SPy_1436
NOG04587:	160490.SPy_1222 272623.L166912
NOG04588:	160490.SPy_1856 272623.L157472 272623.L101912
NOG04589:	272623.L88730 160490.SPy_0261
NOG04590:	160490.SPy_0931 272623.L84937
NOG04591:	160490.SPy_1898 272623.L86338
NOG04592:	272623.L3846 160490.SPy_0399
NOG04593:	160490.SPy_1900 272623.L0202
NOG04594:	160490.SPy_0932 272623.L125707
NOG04595:	160490.SPy_0069 272623.L0382
NOG04596:	272623.L112776 160490.SPy_0016
NOG04597:	272623.L0280 160490.SPy_0400
NOG04598:	160490.SPy_1492 272623.L99502
NOG04599:	272623.L154225 160490.SPy_0601
NOG04600:	272623.L0407 160490.SPy_1072
NOG04601:	272623.L0306 160490.SPy_1118
NOG04602:	160490.SPy_0308 272623.L106374
NOG04603:	272623.L0413 160490.SPy_0080a
NOG04604:	272623.L0126 160490.SPy_1622
NOG04605:	272623.L158834 160490.SPy_0186
NOG04606:	272623.L1009 160490.SPy_0567
NOG04607:	272623.L133858 160490.SPy_1219
NOG04608:	160490.SPy_0055 272623.L0418
NOG04609:	160490.SPy_0033 272623.L152487
NOG04610:	160490.SPy_0457 272623.L168484
NOG04611:	272623.L86471 160490.SPy_0305
NOG04612:	272623.L0385 160490.SPy_0065
NOG04613:	160490.SPy_1751 272623.L28502
NOG04614:	272623.L192354 160490.SPy_1147
NOG04615:	272623.L157023 160490.SPy_0338
NOG04616:	160490.SPy_1647 272623.L131937
NOG04617:	272623.L157908 160490.SPy_0339
NOG04618:	160490.SPy_0809 272623.L0062
NOG04619:	160490.SPy_0749 272623.L2611
NOG04620:	272623.L186875 272623.L187016 160490.SPy_1212
NOG04621:	272623.L0415 160490.SPy_0724
NOG04622:	160490.SPy_1337 272623.L109527
NOG04623:	160490.SPy_0605 272623.L0198
NOG04624:	160490.SPy_0077 272623.L0390
NOG04625:	272623.L0411 160490.SPy_0072
NOG04626:	160490.SPy_0289 272623.L31137
NOG04627:	272623.L0388 160490.SPy_0078
NOG04628:	272623.L0060 160490.SPy_1577
NOG04629:	272623.L0150 160490.SPy_2099
NOG04630:	160490.SPy_1407 272623.L102491
NOG04631:	160490.SPy_0367 272623.L108430
NOG04632:	272623.L95240 160490.SPy_0804
NOG04633:	160490.SPy_0876 272623.L7866
NOG04634:	160490.SPy_0235 272623.L181168
NOG04635:	272623.L98095 160490.SPy_1617
NOG04636:	160490.SPy_0358 272623.L177346
NOG04637:	272623.L158343 160490.SPy_0778
NOG04638:	272623.L56431 160490.SPy_0408
NOG04639:	160490.SPy_1987 272623.L105256
NOG04640:	160490.SPy_0047 272623.L0387
NOG04641:	160490.SPy_0721 272623.L197697
NOG04642:	160490.SPy_0755 272623.L11729
NOG04643:	160490.SPy_0440 272623.L1530
NOG04644:	272623.L108989 160490.SPy_0366
NOG04645:	272623.L0468 272623.L0469 272623.L0472 160490.SPy_0198 160490.SPy_1336 272623.L0471 272623.L0470 272623.L0466 272623.L0467
NOG04646:	160490.SPy_0028 272623.L164626
NOG04647:	160490.SPy_1602 272623.L0146
NOG04648:	160490.SPy_1294 272623.L128695
NOG04649:	160490.SPy_0357 272623.L179243
NOG04650:	160490.SPy_1028 272623.L0034
NOG04651:	160490.SPy_2031 272623.L119891 160490.SPy_0837
NOG04652:	272623.L122401 160490.SPy_0321
NOG04653:	272623.L141634 160490.SPy_0377
NOG04654:	272623.L118668 160490.SPy_1515
NOG04655:	160490.SPy_1365 272623.L63900
NOG04656:	160490.SPy_1143 272623.L189883
NOG04657:	272623.L71932 160490.SPy_1120
NOG04658:	160490.SPy_1138 272623.L171943
NOG04659:	272623.L53019 160490.SPy_1477
NOG04660:	272623.L0337 160490.SPy_1842
NOG04661:	272623.L99869 160490.SPy_1510
NOG04662:	272623.L0038 160490.SPy_1192
NOG04663:	272623.L0053 160490.SPy_1991
NOG04664:	272623.L123159 160490.SPy_1109
NOG04665:	160490.SPy_1362 272623.L0192
NOG04666:	160490.SPy_1980 272623.L110564
NOG04667:	272623.L11285 160490.SPy_0794
NOG04668:	272623.L142733 272623.L65637 160490.SPy_1262
NOG04669:	160490.SPy_0853 272623.L0031
NOG04670:	272623.L0179 160490.SPy_1990
NOG04671:	160490.SPy_1874 272623.L91807
NOG04672:	160490.SPy_1163 272623.L200051
NOG04673:	160490.SPy_0061 272623.L0410
NOG04674:	272623.L11083 160490.SPy_0879
NOG04675:	160490.SPy_0473 272623.L94534
NOG04676:	272623.L0175 160490.SPy_1097
NOG04677:	160490.SPy_0925 272623.L19516
NOG04678:	272623.L133367 160490.SPy_1247
NOG04679:	272623.L160937 160490.SPy_2111
NOG04680:	160490.SPy_1221 272623.L167675
NOG04681:	272623.L190278 160490.SPy_1111
NOG04682:	160490.SPy_1232 272623.L65498
NOG04683:	160490.SPy_1912 272623.L192122
NOG04684:	160490.SPy_0640 272623.L150333
NOG04685:	160490.SPy_1584 272623.L0061
NOG04686:	160490.SPy_1867 272623.L63310
NOG04687:	272623.L0140 160490.SPy_0349
NOG04688:	160490.SPy_0238 272623.L178908
NOG04689:	272623.L106031 160490.SPy_1094
NOG04690:	160490.SPy_1531 272623.L85575
NOG04691:	272623.L75267 160490.SPy_2107
NOG04692:	160490.SPy_1259 272623.L75633
NOG04693:	272623.L192996 160490.SPy_1055
NOG04694:	272623.L15964 160490.SPy_0923
NOG04695:	272623.L104285 160490.SPy_1945
NOG04696:	160490.SPy_2183 272623.L0406
NOG04697:	160490.SPy_2001 272623.L147009
NOG04698:	272623.L0195 160490.SPy_1835
NOG04699:	160490.SPy_1829 272623.L0395
NOG04700:	272623.L0414 160490.SPy_0067
NOG04701:	160490.SPy_1124 272623.L164461
NOG04702:	160490.SPy_0822 272623.L0421
NOG04703:	272623.L57401 160490.SPy_1201
NOG04704:	160490.SPy_1857 272623.L0245
NOG04705:	272623.L62931 160490.SPy_1230
NOG04706:	160490.SPy_0783 272623.L106356
NOG04707:	160490.SPy_1066 272623.L157841
NOG04708:	272623.L0285 160490.SPy_0928
NOG04709:	272623.L132712 160490.SPy_0248
NOG04710:	160490.SPy_1223 272623.L166479
NOG04711:	272623.L0405 160490.SPy_1073
NOG04712:	160490.SPy_1064 272623.L29314
NOG04713:	272623.L95012 160490.SPy_0475
NOG04714:	160490.SPy_1537 272623.L21952
NOG04715:	272623.L67624 160490.SPy_0039
NOG04716:	160490.SPy_0571 272623.L0154
NOG04717:	160490.SPy_0317 272623.L162009
NOG04718:	160490.SPy_1730 272623.L60959
NOG04719:	160490.SPy_2215 272623.L185851
NOG04720:	160490.SPy_0646 272623.L128550
NOG04721:	160490.SPy_1390 160490.SPy_2037 272623.L164604
NOG04722:	272623.L169709 160490.SPy_0135
NOG04723:	272623.L76216 160490.SPy_0265
NOG04724:	272623.L126819 160490.SPy_0726
NOG04725:	272623.L103086 160490.SPy_2177
NOG04726:	160490.SPy_1989 272623.L101209
NOG04727:	272623.L182916 160490.SPy_0598
NOG04728:	272623.L185517 160490.SPy_1069
NOG04729:	272623.L24031 160490.SPy_0207
NOG04730:	272623.L133761 160490.SPy_0444
NOG04731:	160490.SPy_0877 272623.L9089
NOG04732:	272623.L73853 160490.SPy_2115
NOG04733:	272623.L101577 160490.SPy_1491
NOG04734:	160490.SPy_0363 272623.L110933
NOG04735:	160490.SPy_1728 272623.L57113
NOG04736:	160490.SPy_1409 272623.L0316
NOG04737:	272623.L0416 160490.SPy_0806
NOG04738:	272623.L0319 160490.SPy_1615
NOG04739:	272623.L0417 160490.SPy_0819
NOG04740:	160490.SPy_0053 272623.L0396
NOG04741:	160490.SPy_1475 272623.L53819
NOG04742:	272623.L123777 160490.SPy_1787
NOG04743:	272623.L158566 160490.SPy_0041
NOG04744:	272623.L0393 160490.SPy_0840
NOG04745:	160490.SPy_1249 272623.L132585
NOG04746:	272623.L0187 160490.SPy_1747
NOG04747:	160490.SPy_0498 272623.L59930
NOG04748:	160490.SPy_1373 272623.L120335
NOG04749:	272623.L173151 160490.SPy_1725
NOG04750:	160490.SPy_1905 272623.L0310
NOG04751:	160490.SPy_1065 272623.L1734467
NOG04752:	160490.SPy_0918 272623.L181867
NOG04753:	160490.SPy_1831 272623.L0383
NOG04754:	160490.SPy_0051 272623.L0419
NOG04755:	272623.L0392 160490.SPy_1955
NOG04756:	272623.L162872 160490.SPy_0883
NOG04757:	272623.L5953 160490.SPy_0761
NOG04758:	272623.L0223 160490.SPy_2074
NOG04759:	272623.L168265 160490.SPy_0092
NOG04760:	160490.SPy_0639 272623.L0022
NOG04761:	160490.SPy_0060 272623.L0394
NOG04762:	160490.SPy_1886 272623.L195257
NOG04763:	272623.L0289 160490.SPy_2118
NOG04764:	272623.L86677 160490.SPy_0581
NOG04765:	160490.SPy_1827 272623.L111525
NOG04766:	160490.SPy_0744 272623.L50637
NOG04767:	160490.SPy_1828 272623.L196216
NOG04768:	160490.SPy_0839 272623.L58914
NOG04769:	160490.SPy_1719 272623.L0375
NOG04770:	272623.L81453 160490.SPy_1370
NOG04771:	272623.L0420 160490.SPy_0062
NOG04772:	272623.L43222 160490.SPy_1607
NOG04773:	272623.L0436 272623.L0435 272623.L0434 272623.L0433 272623.L0432 160490.SPy_0565 272623.L0439 272623.L0438 272623.L0440
NOG04774:	160490.SPy_1534 272623.L183216
NOG04775:	272623.L44542 160490.SPy_1735
NOG04776:	272623.L0141 160490.SPy_1895
NOG04777:	160490.SPy_1029 272623.L0035
NOG04778:	160490.SPy_1940 272623.L101219
NOG04779:	160490.SPy_1823 272623.L155044
NOG04780:	160490.SPy_1804 272623.L61355
NOG04781:	160490.SPy_0205 272623.L200067
NOG04782:	272623.L13744 160490.SPy_2162
NOG04783:	160490.SPy_1589 272623.L121071
NOG04784:	160490.SPy_0246 272623.L131443
NOG04785:	272623.L0033 160490.SPy_1026
NOG04786:	272623.L54803 160490.SPy_1869
NOG04787:	160490.SPy_0370 272623.L122982
NOG04788:	160490.SPy_1839 272623.L93855
NOG04789:	272623.L0335 160490.SPy_0826
NOG04790:	160490.SPy_1772 272623.L0475
NOG04791:	160490.SPy_0756 272623.L11208
NOG04792:	272623.L175136 160490.SPy_1723
NOG04793:	160490.SPy_1265 272623.L144047 272623.L67002
NOG04794:	160490.SPy_1425 272623.L173230
NOG04795:	160490.SPy_1528 272623.L85091
NOG04796:	272623.L116212 160490.SPy_0600
NOG04797:	272623.L1014 160490.SPy_1356
NOG04798:	272623.L110165 160490.SPy_1871
NOG04799:	160490.SPy_0025 272623.L173921
NOG04800:	272623.L110441 160490.SPy_0364
NOG04801:	160490.SPy_1862 272623.L122849
NOG04802:	160490.SPy_0064 272623.L0391
NOG04803:	272623.L109747 160490.SPy_0365
NOG04805:	272623.L0398 160490.SPy_0779
NOG04806:	272623.L0025 160490.SPy_1586
NOG04807:	272623.L79277 160490.SPy_1903
NOG04808:	272623.L1889726 160490.SPy_1412
NOG04809:	272623.L141485 160490.SPy_2114
NOG04810:	160490.SPy_0864 272623.L5610
NOG04811:	272623.L169106 160490.SPy_0106
NOG04812:	160490.SPy_1878 272623.L67158
NOG04813:	160490.SPy_0383 272623.L128386
NOG04814:	272623.L141748 160490.SPy_2113
NOG04815:	272623.L117685 160490.SPy_1514
NOG04816:	160490.SPy_2047 272623.L198485
NOG04817:	160490.SPy_0657 272623.L53427
NOG04818:	272623.L140905 272623.L155471 272623.L38510 272623.L36774 272623.L199247 272623.L27434 272623.L173048 272623.L137335 272623.L54760 160490.SPy_0195
NOG04819:	272623.L117205 160490.SPy_1865
NOG04820:	160490.SPy_1899 272623.L85854
NOG04821:	160490.SPy_0223 272623.L173329
NOG04822:	272623.L0430 160490.SPy_0805
NOG04823:	272623.L200000 160490.SPy_0004
NOG04824:	272623.L172505 160490.SPy_2077
NOG04825:	272623.L1178 160490.SPy_0439
NOG04826:	272623.L122632 160490.SPy_1897
NOG04827:	160490.SPy_0587 272623.L6768
NOG04828:	160490.SPy_0441 272623.L109882
NOG04829:	272623.L148513 160490.SPy_1741
NOG04830:	160490.SPy_0075 272623.L0366
NOG04831:	272623.L1001 160490.SPy_0009
NOG04832:	272623.L0176 160490.SPy_1098
NOG04833:	272623.L131806 272623.L122299 160490.SPy_0421
NOG04834:	160490.SPy_2088 272623.L69353
NOG04835:	272623.L112263 160490.SPy_1121
NOG04836:	272623.L39625 272623.L52331
NOG04837:	160490.SPy_0382 272623.L61866
NOG04838:	160490.SPy_1119 272623.L120396
NOG04839:	160490.SPy_2112 272623.L142332
NOG04840:	160490.SPy_1630 272623.L149295
NOG04841:	160490.SPy_0310 272623.L28204
NOG04842:	272623.L133932 160490.SPy_1155
NOG04843:	160490.SPy_1523 272623.L0209
NOG04844:	272623.L114402 160490.SPy_1619
NOG04845:	272623.L93051 160490.SPy_1873
NOG04846:	160490.SPy_1115 272623.L115789
NOG04847:	160490.SPy_1056 272623.L178384
NOG04848:	160490.SPy_1820 272623.L92295
NOG04849:	272623.L103195 160490.SPy_1780 272623.L84477
NOG04850:	160490.SPy_1044 272623.L157321
NOG04851:	272623.L159324 272623.L68758 160490.SPy_0857 160490.SPy_0856
NOG04852:	160490.SPy_0334 272623.L39365
NOG04853:	272623.L175450 160490.SPy_1722
NOG04854:	272623.L26054 160490.SPy_0307
NOG04855:	160490.SPy_1489 272623.L102317
NOG04856:	160490.SPy_0658 272623.L53055
NOG04857:	160490.SPy_1234 272623.L0397
NOG04858:	272623.L115113 160490.SPy_1851
NOG04859:	272623.L0425 160490.SPy_0717
NOG04860:	272623.L147936 160490.SPy_0295
NOG04861:	160490.SPy_1572 272623.L35545
NOG04862:	160490.SPy_0346 272623.L126998
NOG04863:	160490.SPy_2150 272623.L0110
NOG04864:	160490.SPy_1159 272623.L97827
NOG04865:	160490.SPy_1995 272623.L88237
NOG04866:	272623.L9737 160490.SPy_0841
NOG04867:	272623.L66209 160490.SPy_1263
NOG04868:	160490.SPy_1911 272623.L190126
NOG04869:	160490.SPy_1292 272623.L94405
NOG04870:	272623.L0084 160490.SPy_1170
NOG04871:	272623.L106755 160490.SPy_0373
NOG04872:	160490.SPy_2072 272623.L198515
NOG04873:	160490.SPy_0722 272623.L64445
NOG04874:	160490.SPy_0405 272623.L6328
NOG04875:	160490.SPy_1496 272623.L82250
NOG04876:	160490.SPy_2203 272623.L34138
NOG04877:	160490.SPy_0103 272623.L0315
NOG04878:	272623.L67463 160490.SPy_0467
NOG04879:	272623.L54944 272623.L147291 160490.SPy_0259 272623.L192289
NOG04880:	160490.SPy_2160 272623.L0096
NOG04881:	272623.L114884 160490.SPy_1288
NOG04882:	272623.L4152 160490.SPy_1367
NOG04883:	160490.SPy_0754 272623.L11729a
NOG04884:	272623.L0215 272623.L0214 160490.SPy_1634
NOG04885:	160490.SPy_0076 272623.L153863
NOG04886:	160490.SPy_0846 272623.L108801
NOG04887:	160490.SPy_1484 272623.L106345
NOG04888:	272623.L196017 160490.SPy_0410
NOG04889:	272623.L93858 160490.SPy_0477 272623.L65733
NOG04890:	160490.SPy_0798 272623.L9639
NOG04891:	160490.SPy_1755 272623.L180805
NOG04892:	272623.L84767 160490.SPy_0450
NOG04893:	272623.L12334 160490.SPy_1834
NOG04894:	272623.L114363 160490.SPy_0593
NOG04895:	160490.SPy_0459 272623.L114632
NOG04896:	272623.L0338 160490.SPy_0502
NOG04897:	160490.SPy_0801 272623.L176167
NOG04898:	272623.L0037 160490.SPy_2053
NOG04899:	160490.SPy_1753 272623.L0183
NOG04900:	272623.L90693 160490.SPy_0821
NOG04901:	272623.L45003 160490.SPy_1734
NOG04902:	160490.SPy_1042 272623.L200042
NOG04903:	272623.L5126 160490.SPy_1374
NOG04904:	160490.SPy_0374 272623.L32731
NOG04905:	160490.SPy_1646 272623.L102051
NOG04906:	272623.L0238 160490.SPy_1524
NOG04907:	160490.SPy_0385 272623.L129403
NOG04908:	272623.L0056 160490.SPy_1351
NOG04909:	272623.L24742 160490.SPy_0526
NOG04910:	272623.L169783 160490.SPy_0104
NOG04911:	272623.L3279 160490.SPy_2106
NOG04912:	272623.L63101 160490.SPy_0698
NOG04913:	160490.SPy_0100 272623.L100735
NOG04914:	272623.L98109 160490.SPy_1643
NOG04915:	160490.SPy_2125 160490.SPy_0939 272623.L0250 160490.SPy_1486
NOG04916:	272623.L0424 160490.SPy_0071
NOG04917:	160490.SPy_0796 272623.L11986
NOG04918:	160490.SPy_1446 160490.SPy_0700 272623.L63739
NOG04919:	272623.L0255 160490.SPy_1499
NOG04920:	160490.SPy_0352 272623.L196178
NOG04921:	160490.SPy_1186 272623.L0039
NOG04922:	160490.SPy_0257 272623.L0093
NOG04923:	160490.SPy_1324 272623.L18872
NOG04924:	160490.SPy_1701 272623.L169795
NOG04925:	272623.L153973 160490.SPy_0780
NOG04926:	272623.L104681 160490.SPy_1687
NOG04927:	160490.SPy_1310 272623.L90005
NOG04928:	272623.L133111 160490.SPy_1248
NOG04929:	272623.L27646 160490.SPy_1144
NOG04930:	160490.SPy_1264 272623.L143459 272623.L66407
NOG04931:	160490.SPy_1888 272623.L0422
NOG04932:	272623.L133770 160490.SPy_0250
NOG04933:	272623.L184708 160490.SPy_1968
NOG04934:	272623.L179789 160490.SPy_0533 272623.L19959 160490.SPy_0496
NOG04935:	160490.SPy_0201 272623.L156674
NOG04936:	160490.SPy_0426 272623.L4702
NOG04937:	160490.SPy_1139 272623.L168282
NOG04938:	272623.L98542 160490.SPy_2200 272623.L80399
NOG04939:	272623.L105533 160490.SPy_0187
NOG04940:	160490.SPy_1717 272623.L45109
NOG04941:	272623.L37085 160490.SPy_0281
NOG04942:	272623.L92686 160490.SPy_1818
NOG04943:	272623.L119456 160490.SPy_1516
NOG04944:	160490.SPy_1875 272623.L91273
NOG04945:	272623.L10679 160490.SPy_0757
NOG04946:	272623.L200043 160490.SPy_0884
NOG04947:	160490.SPy_1518 272623.L119731
NOG04948:	160490.SPy_0145 272623.L52644
NOG04949:	160490.SPy_1758 272623.L0171
NOG04950:	272623.L00096 160490.SPy_2159
NOG04951:	160490.SPy_0059 272623.L0423
NOG04952:	272623.L145267 272623.L143312 272623.L124415
NOG04953:	272623.L44970 160490.SPy_0673
NOG04954:	272623.L19292 160490.SPy_1323
NOG04955:	272623.L184880 160490.SPy_0603
NOG04956:	272623.L115500 160490.SPy_1277
NOG04957:	160490.SPy_1680 272623.L73572
