##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/68525.deproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/68525.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/68525.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG00001:	192222.Cj0023 882.DVU2942 85962.HP1112
NOG00392:	882.DVU1573 85962.HP1497 192222.Cj0312
NOG00393:	85962.HP0083 882.DVU2519 192222.Cj1479c
NOG00394:	85962.HP0824 882.DVU1839 192222.Cj0147c
NOG00395:	882.DVU0812 192222.Cj0758 85962.HP0110
NOG00396:	192222.Cj1582c 85962.HP0251 882.DVU2462 85962.HP0300 882.DVU2386
NOG00397:	85962.HP0676 882.DVU0791 192222.Cj0836
NOG00398:	882.DVU3197 85962.HP1468 192222.Cj0269c
NOG00399:	192222.Cj1693c 882.DVU1317 85962.HP1305
NOG00400:	192222.Cj1573c 85962.HP1266 882.DVU1771
NOG00401:	192222.Cj0906c 85962.HP0518 882.DVU2944
NOG00402:	192222.Cj0191c 882.DVU3366 85962.HP0793
NOG00403:	882.DVU2461 85962.HP1251 85962.HP0299 882.DVU2385 192222.Cj1583c
NOG00404:	85962.HP0877 192222.Cj1731c 882.DVU2258
NOG00405:	882.DVU2564 85962.HP0598 192222.Cj0306c
NOG00406:	192222.Cj0095 85962.HP0297 882.DVU0928
NOG00407:	192222.Cj0634 882.DVU2069 85962.HP0333
NOG00408:	882.DVU1888 192222.Cj0641 85962.HP1394
NOG00409:	882.DVU1665 192222.Cj0066c 85962.HP1038
NOG00410:	192222.Cj1087c 85962.HP1543 882.DVU3240
NOG00411:	882.DVU2535 85962.HP0126 192222.Cj0245
NOG00412:	192222.Cj1151c 882.DVU0481 85962.HP0859
NOG00413:	192222.Cj0337c 882.DVU0640 882.DVU2229 85962.HP0815 882.DVU0050
NOG00414:	192222.Cj1067 882.DVU1846 85962.HP1016
NOG00415:	85962.HP0329 882.DVU1610 192222.Cj0810
NOG00416:	192222.Cj1105 882.DVU0828 85962.HP1444
NOG00417:	192222.Cj1481c 85962.HP1553 882.DVU2062
NOG00418:	882.DVU1777 85962.HP0004 192222.Cj0237
NOG00419:	85962.HP0162 882.DVU2259 192222.Cj1172c
NOG00420:	882.DVU0181 85962.HP0474 192222.Cj0301c
NOG00421:	882.DVU3368 192222.Cj0765c 85962.HP1190
NOG00422:	192222.Cj1263 85962.HP0925 882.DVU3200
NOG00423:	882.DVU1334 192222.Cj0193c 85962.HP0795
NOG00424:	882.DVU1654 882.DVU2066 85962.HP0675 192222.Cj0863c
NOG00425:	882.DVU0289 85962.HP0798 192222.Cj0252
NOG00426:	192222.Cj1148 882.DVU1055 85962.HP1191
NOG00427:	882.DVU2339 192222.Cj1117c 85962.HP1068
NOG00428:	85962.HP1319 882.DVU1303 192222.Cj1707c
NOG00429:	192222.Cj0228c 85962.HP0363 882.DVU1849
NOG00430:	85962.HP1318 882.DVU1304 192222.Cj1706c
NOG00431:	85962.HP1476 882.DVU3307 192222.Cj0768c
NOG00432:	882.DVU1308 192222.Cj1702c 85962.HP1314
NOG00433:	192222.Cj0725c 882.DVU0971 85962.HP0799
NOG00434:	85962.HP0390 192222.Cj0779 882.DVU1228
NOG00435:	882.DVU2911 192222.Cj0588 85962.HP1086
NOG00436:	192222.Cj0123c 85962.HP0727 882.DVU0054
NOG00437:	85962.HP0808 192222.Cj1409 882.DVU1909
NOG00438:	882.DVU2521 882.DVU0892 192222.Cj0387 85962.HP0157
NOG00439:	85962.HP0813 882.DVU2765 192222.Cj0809c
NOG00440:	882.DVU0764 882.DVU1795 85962.HP0835 192222.Cj0913c
NOG00441:	85962.HP0891 882.DVU0159 192222.Cj0915
NOG00442:	882.DVU1459 85962.HP0728 192222.Cj1453c
NOG00443:	85962.HP1509 192222.Cj0357c 882.DVU3208
NOG00444:	192222.Cj0471 882.DVU2921 85962.HP1204
NOG00445:	882.DVU0963 192222.Cj1724c 85962.HP1413
NOG00446:	192222.Cj1107 85962.HP0032 882.DVU1601
NOG00447:	192222.Cj0042 85962.HP0907 882.DVU1444
NOG00448:	85962.HP1363 192222.Cj0188c 882.DVU1910
NOG00449:	85962.HP0587 192222.Cj0529c 882.DVU3069
NOG00450:	882.DVU1944 192222.Cj0535 85962.HP0588
NOG00451:	85962.HP0076 192222.Cj1611 882.DVU1896
NOG00452:	85962.HP1037 192222.Cj0653c 882.DVU0296
NOG00453:	192222.Cj0408 882.DVU3261 85962.HP0193
NOG00454:	882.DVU2289 192222.Cj1571c 85962.HP1268
NOG00455:	85962.HP1474 192222.Cj0766c 882.DVU2140
NOG00456:	882.DVU0834 85962.HP1323 192222.Cj0010c
NOG00457:	882.DVU0046 192222.Cj0059c 85962.HP1030
NOG00458:	85962.HP1533 192222.Cj0026c 882.DVU2254
NOG00459:	192222.Cj1694c 882.DVU1316 85962.HP1306
NOG00460:	85962.HP1182 192222.Cj0118 882.DVU3241
NOG00461:	85962.HP1168 882.DVU0598 882.DVU0599 192222.Cj0917c
NOG00462:	192222.Cj0789 85962.HP0640 882.DVU1653
NOG00463:	882.DVU2222 85962.HP1245 192222.Cj1071
NOG00464:	882.DVU2470 85962.HP0920 192222.Cj0236c
NOG00465:	85962.HP0496 192222.Cj0965c 882.DVU0886
NOG00466:	192222.Cj1048c 882.DVU1827 85962.HP0212
NOG00467:	192222.Cj1490c 85962.HP0144 882.DVU1815
NOG00468:	882.DVU0704 85962.HP0576 192222.Cj0856
NOG00469:	85962.HP0176 192222.Cj0597 882.DVU2143
NOG00470:	882.DVU3222 192222.Cj1535c 85962.HP1166
NOG00471:	85962.HP1441 192222.Cj1171c 882.DVU1873 882.DVU0284
NOG00472:	882.DVU2569 192222.Cj0115 85962.HP1123
NOG00473:	192222.Cj1675 85962.HP1419 882.DVU0043
NOG00474:	882.DVU1797 192222.Cj1711c 85962.HP1431
NOG00475:	85962.HP0001 882.DVU1197 192222.Cj0382c
NOG00476:	85962.HP0407 882.DVU1611 192222.Cj0264c
NOG00477:	192222.Cj0126c 85962.HP0949 882.DVU1254
NOG00478:	192222.Cj0429c 85962.HP1485 882.DVU2315
NOG00479:	192222.Cj1134 85962.HP0280 882.DVU1673
NOG00480:	882.DVU1312 85962.HP1310 192222.Cj1698c
NOG00481:	85962.HP1414 882.DVU1618 192222.Cj1405
NOG00482:	882.DVU1189 85962.HP0567 192222.Cj1363 882.DVU0128
NOG00483:	192222.Cj1094c 85962.HP1551 882.DVU1820
NOG00484:	192222.Cj1194 85962.HP1491 882.DVU2306
NOG00485:	192222.Cj0257 882.DVU3377 85962.HP0700
NOG00486:	85962.HP0473 192222.Cj0303c 882.DVU0177
NOG00487:	882.DVU1200 192222.Cj1218c 85962.HP1574
NOG00488:	85962.HP1308 192222.Cj1696c 882.DVU1314
NOG00489:	192222.Cj0664c 882.DVU0958 85962.HP0514
NOG00490:	85962.HP1297 192222.Cj1591 882.DVU1325
NOG00491:	85962.HP1393 882.DVU2463 192222.Cj0642
NOG00492:	85962.HP0175 192222.Cj0596 882.DVU1065
NOG00493:	192222.Cj0687c 85962.HP0325 882.DVU0515
NOG00494:	192222.Cj0099 85962.HP1140 882.DVU1835
NOG00495:	85962.HP0404 882.DVU0395 192222.Cj0898
NOG00496:	85962.HP0740 192222.Cj0795c 882.DVU2508
NOG00497:	85962.HP0809 882.DVU0047 192222.Cj1408
NOG00498:	192222.Cj0336c 882.DVU2609 882.DVU0639 85962.HP0816
NOG00499:	85962.HP1151 192222.Cj0710 882.DVU0839
NOG00500:	192222.Cj0827 85962.HP0361 882.DVU0911
NOG00501:	192222.Cj0832c 85962.HP0946 882.DVU1978
NOG00502:	85962.HP0152 882.DVU2755 192222.Cj1674
NOG00503:	192222.Cj0155c 882.DVU2912 85962.HP0551
NOG00504:	85962.HP1131 882.DVU0774 192222.Cj0108
NOG00505:	192222.Cj0450c 85962.HP0491 882.DVU1211
NOG00506:	192222.Cj0905c 85962.HP0941 882.DVU0955
NOG00507:	882.DVU2468 85962.HP0328 192222.Cj0811
NOG00508:	882.DVU0610 85962.HP1464 192222.Cj1648
NOG00509:	882.DVU0813 192222.Cj0757 85962.HP0111
NOG00510:	192222.Cj1264c 882.DVU1923 882.DVU1919 85962.HP0634
NOG00511:	882.DVU1201 85962.HP1505 192222.Cj1622
NOG00512:	192222.Cj0457c 85962.HP0270 882.DVU1672
NOG00513:	192222.Cj1070 85962.HP1246 882.DVU0956
NOG00514:	85962.HP1267 882.DVU0433 192222.Cj1572c 882.DVU2287
NOG00515:	85962.HP0753 882.DVU0862 192222.Cj0549
NOG00516:	85962.HP1200 882.DVU2926 192222.Cj0476
NOG00517:	85962.HP1046 192222.Cj0138 882.DVU0511
NOG00518:	882.DVU0528 192222.Cj1610 85962.HP0737
NOG00519:	192222.Cj0153c 85962.HP0553 882.DVU0042
NOG00520:	882.DVU0917 192222.Cj0936 85962.HP1212
NOG00521:	85962.HP1216 192222.Cj1252 882.DVU0954
NOG00522:	882.DVU1074 85962.HP1447 192222.Cj0961c
NOG00523:	85962.HP0215 192222.Cj1347c 882.DVU0868
NOG00524:	882.DVU1322 85962.HP1301 192222.Cj1689c
NOG00525:	882.DVU1250 85962.HP1063 192222.Cj0997
NOG00526:	882.DVU3056 85962.HP0100 192222.Cj0272
NOG00527:	85962.HP1244 192222.Cj1072 882.DVU0957
NOG00528:	882.DVU1825 85962.HP0267 192222.Cj0067
NOG00529:	192222.Cj0441 882.DVU1205 85962.HP0962 85962.HP0559
NOG00530:	882.DVU2902 192222.Cj1195c 85962.HP0266
NOG00531:	882.DVU3104 85962.HP1125 192222.Cj0113
NOG00532:	85962.HP1344 192222.Cj0726c 882.DVU2435
NOG00533:	85962.HP0415 192222.Cj0238 882.DVU1544
NOG00534:	882.DVU1860 192222.Cj1095 85962.HP0180
NOG00535:	882.DVU2256 85962.HP0883 192222.Cj0799c
NOG00536:	192222.Cj0840c 85962.HP1385 882.DVU1841
NOG00537:	85962.HP0378 192222.Cj1013c
NOG00538:	882.DVU1953 192222.Cj0558c
NOG00539:	192222.Cj1333 85962.HP0114 192222.Cj1337 192222.Cj1335 192222.Cj1334 192222.Cj1318
NOG00540:	882.DVU3271 192222.Cj0081
NOG00541:	192222.Cj0616 882.DVU1084
NOG00542:	882.DVU0968 192222.Cj0902 882.DVU0753 192222.Cj0469 85962.HP1171 882.DVU0105 882.DVU1236 882.DVU2343
NOG00543:	192222.Cj0949c 85962.HP0049
NOG00544:	882.DVU3310 85962.HP0247
NOG00545:	85962.HP0098 192222.Cj0812
NOG00546:	192222.Cj0947c 85962.HP0757
NOG00547:	192222.Cj1605c 85962.HP0626
NOG00548:	85962.HP1010 192222.Cj1359
NOG00550:	192222.Cj1038 882.DVU2505 85962.HP1560
NOG00551:	192222.Cj1007c 85962.HP0284
NOG00552:	85962.HP0370 192222.Cj1290c 882.DVU1834 192222.Cj1037c
NOG00553:	192222.Cj0777 85962.HP0911
NOG00554:	882.DVU3140 192222.Cj1444c
NOG00555:	85962.HP0283 192222.Cj1008c
NOG00556:	882.DVU1406 192222.Cj1529c
NOG00557:	192222.Cj1287c 882.DVU0414
NOG00558:	882.DVU0448 85962.HP0044
NOG00559:	85962.HP0643 192222.Cj0845c
NOG00560:	192222.Cj0835c 85962.HP0779
NOG00561:	882.DVU2981 192222.Cj1719c
NOG00562:	85962.HP0724 192222.Cj0088
NOG00563:	85962.HP0497 192222.Cj0935c 192222.Cj0934c 85962.HP0498
NOG00564:	192222.Cj0355c 85962.HP1043
NOG00565:	882.DVU0796 192222.Cj1598
NOG00566:	192222.Cj0017c 85962.HP0595
NOG00567:	882.DVU1272 192222.Cj1471c
NOG00568:	192222.Cj0479 882.DVU2929 85962.HP1198
NOG00569:	192222.Cj0716 85962.HP0134
NOG00570:	85962.HP0364 192222.Cj0231c
NOG00571:	85962.HP1011 192222.Cj0804
NOG00572:	882.DVU3371 192222.Cj1201
NOG00573:	85962.HP0382 192222.Cj0723c
NOG00574:	882.DVU2514 192222.Cj0392c
NOG00575:	192222.Cj1548c 85962.HP1104
NOG00576:	85962.HP1461 192222.Cj0358
NOG00577:	85962.HP0372 192222.Cj1292
NOG00578:	192222.Cj1588c 192222.Cj0250c 85962.HP0936
NOG00579:	192222.Cj1317 85962.HP0178 882.DVU3008
NOG00580:	85962.HP1050 192222.Cj0134
NOG00581:	192222.Cj0888c 882.DVU1979
NOG00582:	192222.Cj1457c 85962.HP0926
NOG00583:	882.DVU1411 192222.Cj0453
NOG00584:	192222.Cj0574 882.DVU1376
NOG00585:	192222.Cj1655c 192222.Cj1654c 85962.HP1552
NOG00586:	192222.Cj1293 85962.HP0840
NOG00587:	85962.HP0557 192222.Cj0443 882.DVU2225
NOG00588:	882.DVU2568 192222.Cj0605
NOG00589:	882.DVU0161 192222.Cj0196c
NOG00590:	192222.Cj0348 85962.HP1278 882.DVU0085 882.DVU0470
NOG00591:	192222.Cj0369c 85962.HP1508
NOG00592:	85962.HP1252 882.DVU2384
NOG00593:	192222.Cj1155c 85962.HP1503
NOG00594:	192222.Cj0372 85962.HP0233
NOG00595:	192222.Cj0393c 85962.HP0086
NOG00596:	192222.Cj0862c 882.DVU0363 85962.HP0293
NOG00597:	85962.HP0416 192222.Cj1183c
NOG00598:	85962.HP1091 192222.Cj1619
NOG00599:	85962.HP1126 192222.Cj0112
NOG00600:	192222.Cj0992c 85962.HP0665
NOG00601:	85962.HP0302 882.DVU0165
NOG00602:	192222.Cj1625c 85962.HP0133
NOG00603:	192222.Cj1295 882.DVU1387
NOG00604:	882.DVU0697 85962.HP0043
NOG00605:	882.DVU2094 192222.Cj1045c
NOG00606:	85962.HP0758 192222.Cj0006
NOG00607:	192222.Cj0353c 85962.HP0278
NOG00608:	85962.HP1172 192222.Cj0982c
NOG00609:	192222.Cj1130c 85962.HP1206
NOG00610:	192222.Cj1005c 85962.HP0286
NOG00611:	192222.Cj1567c 85962.HP1272
NOG00612:	882.DVU0891 192222.Cj0150c
NOG00613:	192222.Cj1718c 882.DVU0477 882.DVU2985 85962.HP0027
NOG00614:	192222.Cj1044c 882.DVU2093
NOG00615:	85962.HP0145 192222.Cj1489c
NOG00616:	192222.Cj0464 85962.HP1523
NOG00617:	192222.Cj1185c 85962.HP1539
NOG00618:	192222.Cj0570 85962.HP0729
NOG00619:	882.DVU2175 85962.HP0669
NOG00620:	85962.HP0318 192222.Cj1613c
NOG00621:	192222.Cj0559 85962.HP1164
NOG00623:	85962.HP0853 882.DVU3052 192222.Cj0426
NOG00624:	192222.Cj0224 882.DVU0492
NOG00625:	882.DVU1094 192222.Cj0931c
NOG00626:	85962.HP0026 192222.Cj1682c
NOG00627:	85962.HP0082 882.DVU0591 882.DVU1962 85962.HP0099 192222.Cj1564 192222.Cj0262c 192222.Cj1506c 192222.Cj0144
NOG00628:	85962.HP0950 192222.Cj0127c
NOG00629:	192222.Cj1553c 85962.HP1403 882.DVU1709 85962.HP0850
NOG00630:	85962.HP0250 882.DVU2387
NOG00631:	882.DVU0438 192222.Cj1033 85962.HP0607
NOG00632:	192222.Cj1243 85962.HP0604
NOG00633:	192222.Cj0807 85962.HP1014
NOG00634:	192222.Cj0031 85962.HP1517
NOG00635:	192222.Cj0366c 882.DVU0061
NOG00637:	192222.Cj1511c 882.DVU0587 882.DVU2482 882.DVU2812
NOG00638:	882.DVU1164 85962.HP1238
NOG00639:	192222.Cj1375 85962.HP1181
NOG00640:	85962.HP0470 192222.Cj1099
NOG00641:	85962.HP0405 192222.Cj0791c
NOG00642:	85962.HP0875 192222.Cj1385
NOG00643:	85962.HP1035 192222.Cj0064c
NOG00644:	192222.Cj0677 882.DVU3338
NOG00645:	192222.Cj1581c 85962.HP0301 882.DVU2576
NOG00646:	192222.Cj0688 882.DVU3029
NOG00647:	882.DVU1095 192222.Cj0665c
NOG00648:	192222.Cj0268c 85962.HP0248
NOG00649:	192222.Cj0029 85962.HP0723
NOG00650:	192222.Cj1184c 85962.HP1538
NOG00651:	85962.HP1495 192222.Cj0281c
NOG00652:	85962.HP0957 192222.Cj0707
NOG00653:	192222.Cj0227 882.DVU2347
NOG00654:	192222.Cj1540 882.DVU0745
NOG00655:	85962.HP0089 192222.Cj0117
NOG00656:	882.DVU1083 85962.HP0166 192222.Cj1227c 192222.Cj1261
NOG00657:	85962.HP0581 192222.Cj0259
NOG00658:	192222.Cj1727c 85962.HP0106
NOG00659:	192222.Cj0976 85962.HP0419
NOG00660:	882.DVU0951 192222.Cj0857c 192222.Cj1519 85962.HP0172
NOG00661:	192222.Cj0881c 85962.HP1042
NOG00662:	192222.Cj0390 85962.HP1479
NOG00663:	192222.Cj0403 85962.HP0184
NOG00664:	192222.Cj0601c 882.DVU1092
NOG00665:	85962.HP0217 192222.Cj1143
NOG00666:	192222.Cj0233c 85962.HP1257
NOG00667:	192222.Cj0843c 85962.HP0645
NOG00668:	192222.Cj0534 882.DVU2137
NOG00669:	192222.Cj0503c 85962.HP0376
NOG00670:	882.DVU2800 882.DVU3332 85962.HP0791
NOG00671:	85962.HP0571 192222.Cj0928
NOG00672:	85962.HP1498 192222.Cj0313
NOG00673:	882.DVU0715 882.DVU0550 192222.Cj1015c
NOG00674:	85962.HP0282 192222.Cj1009c
NOG00675:	192222.Cj0955c 882.DVU3181
NOG00676:	882.DVU3336 192222.Cj0679
NOG00677:	192222.Cj1277c 85962.HP0748 882.DVU3375
NOG00678:	85962.HP0147 192222.Cj1487c
NOG00679:	192222.Cj0141c 882.DVU1341
NOG00680:	882.DVU0462 192222.Cj0316
NOG00681:	192222.Cj0694 85962.HP0977
NOG00682:	882.DVU0512 192222.Cj0697 85962.HP1092
NOG00683:	85962.HP1183 192222.Cj1684c
NOG00684:	192222.Cj1577c 85962.HP1262
NOG00685:	192222.Cj0994c 882.DVU1096
NOG00686:	85962.HP1044 192222.Cj0846
NOG00687:	85962.HP1564 192222.Cj0772c 192222.Cj0771c 192222.Cj0770c
NOG00688:	192222.Cj0226 882.DVU1466
NOG00689:	85962.HP0657 192222.Cj0463
NOG00690:	882.DVU1443 192222.Cj0043 882.DVU0307 85962.HP0870 192222.Cj1729c
NOG00691:	85962.HP1143 192222.Cj0036
NOG00692:	882.DVU3324 192222.Cj1663 192222.Cj0607
NOG00693:	882.DVU0997 192222.Cj1202
NOG00694:	192222.Cj0120 85962.HP0951
NOG00695:	192222.Cj1014c 882.DVU2740 882.DVU0716 882.DVU0551
NOG00696:	192222.Cj1327 882.DVU0349
NOG00697:	192222.Cj1504c 882.DVU1332
NOG00698:	85962.HP0388 192222.Cj0590
NOG00699:	192222.Cj0708 85962.HP0956
NOG00700:	85962.HP1451 192222.Cj0957c
NOG00701:	85962.HP1169 192222.Cj0467 882.DVU1237 882.DVU0967
NOG00702:	85962.HP1380 192222.Cj0130
NOG00703:	192222.Cj0007 882.DVU1823
NOG00704:	882.DVU2982 192222.Cj1717c 882.DVU1064
NOG00705:	192222.Cj0700 85962.HP0170
NOG00706:	85962.HP1496 192222.Cj0311
NOG00707:	192222.Cj0365c 882.DVU0062 882.DVU3246
NOG00708:	882.DVU0548 192222.Cj1017c 882.DVU0713
NOG00709:	85962.HP0928 192222.Cj0194
NOG00710:	85962.HP0279 192222.Cj1133
NOG00711:	882.DVU0180 85962.HP0475 192222.Cj0300c
NOG00712:	85962.HP0802 192222.Cj0996
NOG00713:	192222.Cj1119c 85962.HP0158
NOG00714:	192222.Cj1283 882.DVU0413
NOG00715:	85962.HP1398 882.DVU0571
NOG00716:	882.DVU2374 85962.HP0179 192222.Cj1180c
NOG00717:	192222.Cj1566c 85962.HP1273
NOG00718:	85962.HP0572 192222.Cj0927
NOG00719:	192222.Cj1278c 85962.HP0747
NOG00720:	192222.Cj0581 85962.HP1228
NOG00721:	192222.Cj0343c 85962.HP0226
NOG00722:	192222.Cj1186c 85962.HP1540
NOG00723:	192222.Cj0002 85962.HP0500
NOG00724:	85962.HP1576 192222.Cj0774c
NOG00725:	882.DVU1025 192222.Cj1286c
NOG00726:	192222.Cj1279c 85962.HP0746
NOG00727:	85962.HP0739 192222.Cj0796c
NOG00728:	882.DVU3161 192222.Cj0732 882.DVU0098
NOG00729:	192222.Cj1603 882.DVU0286
NOG00730:	85962.HP1357 192222.Cj0847
NOG00731:	882.DVU0494 85962.HP0736
NOG00732:	85962.HP1170 192222.Cj0468
NOG00733:	85962.HP0295 192222.Cj0887c
NOG00734:	85962.HP0934 192222.Cj0160c
NOG00735:	882.DVU1833 85962.HP0121
NOG00736:	85962.HP0620 192222.Cj0638c
NOG00737:	882.DVU0500 192222.Cj1379
NOG00738:	85962.HP0750 192222.Cj1275c
NOG00739:	192222.Cj0317 882.DVU1029
NOG00740:	192222.Cj0143c 882.DVU1343
NOG00741:	192222.Cj1539c 882.DVU0746
NOG00742:	882.DVU0636 192222.Cj0643
NOG00743:	85962.HP0888 192222.Cj0142c 882.DVU1342
NOG00744:	882.DVU2403 192222.Cj0439
NOG00745:	192222.Cj0205 882.DVU1660
NOG00746:	85962.HP1158 192222.Cj1076
NOG00747:	85962.HP1355 882.DVU1807
NOG00748:	192222.Cj0940c 882.DVU0674
NOG00749:	85962.HP0755 192222.Cj0294
NOG00750:	192222.Cj1315c 882.DVU0285
NOG00751:	85962.HP0224 192222.Cj0637c 882.DVU1984
NOG00752:	882.DVU2479 192222.Cj0615
NOG00753:	85962.HP0051 882.DVU1746
NOG00754:	192222.Cj1285c 85962.HP0778
NOG00755:	192222.Cj0280 85962.HP0918
NOG00756:	192222.Cj1132c 85962.HP0688
NOG00757:	882.DVU0643 192222.Cj1046c 85962.HP0814 882.DVU2092
NOG00758:	85962.HP0164 192222.Cj1226c 192222.Cj1262
NOG00759:	882.DVU0625 192222.Cj1357c
NOG00760:	192222.Cj1371 882.DVU1242
NOG00761:	882.DVU2363 85962.HP0845
NOG00762:	192222.Cj1230 85962.HP1025
NOG00763:	192222.Cj0156c 85962.HP0374
NOG00764:	85962.HP1235 192222.Cj0430
NOG00765:	882.DVU0668 882.DVU0935 882.DVU3182 882.DVU0700 882.DVU0750 192222.Cj0448c 882.DVU1869 882.DVU1169 882.DVU1884 882.DVU2738 85962.HP0599 882.DVU2295
NOG00766:	85962.HP0074 192222.Cj0361
NOG00767:	85962.HP1356 882.DVU1808
NOG00768:	882.DVU2817 192222.Cj0367c 882.DVU0060
NOG00769:	882.DVU2842 85962.HP1121
NOG00770:	85962.HP0633 192222.Cj1265c
NOG00771:	192222.Cj0516 85962.HP1348
NOG00772:	192222.Cj0486 85962.HP1174
NOG00773:	192222.Cj0964 85962.HP0781
NOG00774:	882.DVU0736 192222.Cj0187c
NOG00775:	882.DVU1907 192222.Cj1441c
NOG00776:	192222.Cj0282c 85962.HP0652
NOG00777:	882.DVU3235 192222.Cj0953c
NOG00778:	192222.Cj0614 882.DVU2478
NOG00779:	85962.HP1339 192222.Cj1628
NOG00780:	85962.HP0958 192222.Cj0706
NOG00781:	85962.HP0862 192222.Cj0394c
NOG00782:	192222.Cj0826 85962.HP0362
NOG00783:	192222.Cj0371 85962.HP0232
NOG00784:	192222.Cj0109 85962.HP1130
NOG00785:	192222.Cj1495c 85962.HP1236
NOG00786:	85962.HP1392 192222.Cj1349c
NOG00787:	85962.HP0800 192222.Cj1518
NOG00788:	192222.Cj1602 85962.HP0852
NOG00789:	882.DVU0648 192222.Cj1616
NOG00790:	192222.Cj1056c 85962.HP1481
NOG00791:	85962.HP0406 192222.Cj0703
NOG00792:	192222.Cj0186c 85962.HP1343
NOG00793:	192222.Cj0452 85962.HP1387
NOG00794:	85962.HP0749 192222.Cj1276c
NOG00795:	85962.HP0959 192222.Cj0705
NOG00796:	85962.HP1484 192222.Cj0362
NOG00797:	85962.HP0347 192222.Cj0022c
NOG00798:	192222.Cj0498 882.DVU0468 882.DVU0469 85962.HP1279 192222.Cj0347
NOG00799:	192222.Cj1211 85962.HP1361
NOG00800:	192222.Cj1016c 882.DVU2742
NOG00801:	192222.Cj0712 85962.HP1149
NOG00802:	192222.Cj1461 85962.HP0810
NOG00803:	85962.HP0034 192222.Cj0296c
NOG00804:	85962.HP1559 192222.Cj0528c
NOG00805:	882.DVU2388 882.DVU3099 192222.Cj0179
NOG00806:	192222.Cj1167 882.DVU0600
NOG00807:	192222.Cj0507 882.DVU0527 85962.HP1240
NOG00808:	192222.Cj0515 85962.HP1349
NOG00809:	192222.Cj1311 85962.HP0326
NOG00810:	192222.Cj0420 85962.HP1286
NOG00811:	192222.Cj1019c 192222.Cj1018c 882.DVU0712 882.DVU0547 882.DVU2744
NOG00812:	85962.HP0103 882.DVU0344 882.DVU3035 192222.Cj0019c
NOG00813:	882.DVU0013 882.DVU2587 85962.HP1364 192222.Cj1222c
NOG00814:	192222.Cj1291c 85962.HP0371
NOG00815:	882.DVU2554 85962.HP0292
NOG00816:	192222.Cj1705c 85962.HP1317
NOG00817:	192222.Cj1458c 882.DVU0157
NOG00818:	85962.HP1274 192222.Cj1565c
NOG00819:	192222.Cj1387c 882.DVU2206
NOG00820:	85962.HP0243 192222.Cj1534c
NOG00821:	192222.Cj0606 882.DVU2439
NOG00822:	85962.HP0584 192222.Cj0351
NOG00823:	85962.HP0812 192222.Cj1236
NOG00824:	85962.HP0606 192222.Cj1032
NOG00825:	192222.Cj0998c 85962.HP0305
NOG00826:	192222.Cj1599 882.DVU1040
NOG00827:	882.DVU1054 85962.HP0860 192222.Cj1152c
NOG00828:	85962.HP1021 192222.Cj1608
NOG00829:	192222.Cj0702 882.DVU0487
NOG00830:	882.DVU0091 192222.Cj0189c
NOG00831:	192222.Cj1109 882.DVU1603
NOG00832:	882.DVU0328 192222.Cj1125c
NOG00833:	882.DVU0875 192222.Cj0021c
NOG00834:	85962.HP1577 192222.Cj0773c
NOG00835:	85962.HP1160 192222.Cj0121
NOG00836:	85962.HP0573 192222.Cj0926
NOG00837:	192222.Cj0097 882.DVU0930
NOG00838:	85962.HP0228 882.DVU0053 882.DVU0279
NOG00839:	882.DVU1038 192222.Cj1601
NOG00840:	192222.Cj1374c 882.DVU3154
NOG00841:	192222.Cj1219c 85962.HP0358
NOG00842:	192222.Cj0110 85962.HP1129
NOG00843:	85962.HP1281 192222.Cj0861c 882.DVU0466
NOG00844:	85962.HP1530 192222.Cj1712
NOG00845:	85962.HP0831 192222.Cj1530
NOG00846:	882.DVU1347 192222.Cj1235
NOG00847:	85962.HP0716 192222.Cj0668
NOG00848:	85962.HP0863 192222.Cj0396c
NOG00849:	192222.Cj1026c 85962.HP0837
NOG00850:	882.DVU0141 85962.HP0575
NOG00851:	85962.HP0568 192222.Cj1618c
NOG00852:	192222.Cj1570c 85962.HP1269
NOG00853:	85962.HP0018 192222.Cj0089
NOG00854:	882.DVU2910 192222.Cj0167c
NOG00855:	192222.Cj1241 85962.HP1185
NOG00856:	85962.HP1557 192222.Cj0526c
NOG00857:	192222.Cj0012c 882.DVU3094
NOG00858:	192222.Cj1629 85962.HP1340
NOG00859:	192222.Cj0919c 192222.Cj0920c 882.DVU0751 882.DVU0389 85962.HP0939 882.DVU0387
